Class,Peak,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Std_XY_Error,TP,FP,FN,%_Files_With_Peak,Peak_Count
Class1,P1,0.05,0.0001252428101158695,0.05000030007951369,0.2941112191653755,250,2,0,1.0,254
Class1,P2,3.778225806451613,0.017338090341502476,3.77828969915914,7.638267806938656,207,41,43,0.992,248
Class1,P3,2.443815987933635,0.008963458454069961,2.443842619551558,7.9103700907957055,212,58,38,0.884,281
Class2,P1,0.8326180257510729,0.001784129910782718,0.8326211597667992,2.3124880908589738,229,15,21,0.932,247
Class2,P2,1.4564156206415622,0.004100791152212162,1.4564240244430446,4.651584107970723,229,38,21,0.956,272
Class2,P3,13.061278016213638,0.08807252218506491,13.061650172107042,11.636031559558912,198,325,52,0.932,527
Class3,P1,2.429384203480589,0.02709262583847329,2.4295540968310023,2.48890494578012,210,69,40,0.996,329
Class3,P2,1.0345781466113417,0.0018824427471360145,1.0345813728920736,4.017947396912987,232,23,18,0.964,258
Class3,P3,1.742582897033159,0.006609594932839763,1.7426006123859734,3.418329495999327,181,33,69,0.764,218
Class4,P2,0.9341085271317829,0.001572643874334738,0.9341102619615868,1.8009467695344616,43,15,7,0.86,62
