Class,Peak,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Std_XY_Error,TP,FP,FN,%_Files_With_Peak,Peak_Count
Class1,P1,0.05,0.0001252428101158695,0.05000030007951369,0.2941112191653755,250,2,0,1.0,254
Class1,P2,3.6589403973509933,0.009615512534635266,3.6589615919664875,8.04677967774698,129,33,121,0.604,163
Class1,P3,2.443815987933635,0.008963458454069961,2.443842619551558,7.9103700907957055,212,58,38,0.884,281
Class2,P1,0.8326180257510729,0.001784129910782718,0.8326211597667992,2.3124880908589738,229,15,21,0.932,247
Class2,P2,7.739541160593792,0.018288206275668992,7.739577748064072,7.872078488848354,235,198,15,0.988,438
Class2,P3,13.061278016213638,0.08807252218506491,13.061650172107042,11.636031559558912,198,325,52,0.932,527
Class3,P1,4.355610561056106,0.05931427882673396,4.356047083693999,3.8213501550340077,108,132,142,0.808,242
Class3,P2,1.0345781466113417,0.0018824427471360145,1.0345813728920736,4.017947396912987,232,23,18,0.964,258
Class3,P3,14.113811541565779,0.0802705331664004,14.114133684996455,9.046603082788078,192,281,58,0.944,479
Class4,P2,0.945736434108527,0.0015405125682819334,0.9457379999550909,1.845004813752459,43,12,7,0.86,58
