Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,72.33333333333333,0.46978710321136324,72.33488279127435,2.000278854972364,6,31,"[np.int64(29), np.int64(57), np.int64(91), np.int64(116), np.int64(154), np.int64(169)]",300,300,line_distance_10
Class1,P1,Class1_example_0002,59.25,0.43415121740270524,59.25168084936007,2.000242571913754,4,31,"[np.int64(29), np.int64(60), np.int64(101), np.int64(167)]",300,300,line_distance_10
Class1,P1,Class1_example_0003,54.5,0.4456175456219058,54.50188303952716,3.0003105862081827,4,33,"[np.int64(30), np.int64(61), np.int64(94), np.int64(159)]",300,300,line_distance_10
Class1,P1,Class1_example_0004,57.0,0.48684182162819695,57.00227667471905,2.0000339334723547,4,38,"[np.int64(36), np.int64(70), np.int64(106), np.int64(164)]",300,300,line_distance_10
Class1,P1,Class1_example_0005,34.333333333333336,0.23355533926180283,34.3342728833922,3.0000479105382514,3,38,"[np.int64(35), np.int64(73), np.int64(103)]",300,300,line_distance_10
Class1,P1,Class1_example_0006,77.0,0.46371348111700356,77.00142243122843,1.0001528522771304,4,25,"[np.int64(24), np.int64(78), np.int64(136), np.int64(168)]",300,300,line_distance_10
Class1,P1,Class1_example_0007,66.0,0.3722269390924433,66.00114751862948,2.0001887073819735,5,31,"[np.int64(29), np.int64(59), np.int64(95), np.int64(132), np.int64(166)]",300,300,line_distance_10
Class1,P1,Class1_example_0008,57.0,0.4084367172393242,57.00153336403986,3.0002321350426366,4,31,"[np.int64(28), np.int64(54), np.int64(93), np.int64(171)]",300,300,line_distance_10
Class1,P1,Class1_example_0009,45.666666666666664,0.30589575147830006,45.66776797441887,2.0001113116874683,3,37,"[np.int64(35), np.int64(84), np.int64(125)]",300,300,line_distance_10
Class1,P1,Class1_example_0010,57.5,0.42359871173634567,57.50164279236547,1.0001297157674314,4,29,"[np.int64(28), np.int64(59), np.int64(89), np.int64(168)]",300,300,line_distance_10
