Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,,,,,0,31,[],300,39,line_distance_10
Class1,P1,Class1_example_0002,,,,,0,31,[],300,39,line_distance_10
Class1,P1,Class1_example_0003,,,,,0,33,[],300,39,line_distance_10
Class1,P1,Class1_example_0004,,,,,0,38,[],300,39,line_distance_10
Class1,P1,Class1_example_0005,3.0,0.025467510785115666,3.000108097070102,3.000108097070102,1,38,[np.int64(35)],300,39,line_distance_10
Class1,P1,Class1_example_0006,,,,,0,25,[],300,39,line_distance_10
Class1,P1,Class1_example_0007,,,,,0,31,[],300,39,line_distance_10
Class1,P1,Class1_example_0008,3.0,0.020098747912495885,3.0000673258558135,3.0000673258558135,1,31,[np.int64(34)],300,39,line_distance_10
Class1,P1,Class1_example_0009,,,,,0,37,[],300,39,line_distance_10
Class1,P1,Class1_example_0010,,,,,0,29,[],300,39,line_distance_10
Class1,P1,Class1_example_0011,,,,,0,28,[],300,39,line_distance_10
Class1,P1,Class1_example_0012,,,,,0,29,[],300,39,line_distance_10
Class1,P1,Class1_example_0013,3.0,0.027423609339506605,3.000125339773191,3.000125339773191,1,38,[np.int64(35)],300,39,line_distance_10
Class1,P1,Class1_example_0014,1.0,0.0098294631350897,1.0000483080059304,1.0000483080059304,1,35,[np.int64(34)],300,39,line_distance_10
Class1,P1,Class1_example_0015,1.0,0.012368838763996193,1.000076491160736,1.000076491160736,1,32,[np.int64(31)],300,39,line_distance_10
Class1,P1,Class1_example_0016,2.0,0.023033180326672564,2.00013262745148,2.00013262745148,1,33,[np.int64(31)],300,39,line_distance_10
Class1,P1,Class1_example_0017,,,,,0,32,[],300,39,line_distance_10
Class1,P1,Class1_example_0018,,,,,0,30,[],300,39,line_distance_10
Class1,P1,Class1_example_0019,,,,,0,25,[],300,39,line_distance_10
Class1,P1,Class1_example_0020,,,,,0,21,[],300,39,line_distance_10
Class1,P1,Class1_example_0021,,,,,0,21,[],300,39,line_distance_10
Class1,P1,Class1_example_0022,,,,,0,22,[],300,39,line_distance_10
Class1,P1,Class1_example_0023,,,,,0,37,[],300,39,line_distance_10
Class1,P1,Class1_example_0024,,,,,0,44,[],300,39,line_distance_10
Class1,P1,Class1_example_0025,,,,,0,38,[],300,39,line_distance_10
Class1,P1,Class1_example_0026,,,,,0,39,[],300,39,line_distance_10
Class1,P1,Class1_example_0027,3.0,0.03292574427500594,3.000180678665214,3.000180678665214,1,31,[np.int64(34)],300,39,line_distance_10
Class1,P1,Class1_example_0028,4.0,0.022594915028199103,4.000063815764085,4.000063815764085,1,31,[np.int64(35)],300,39,line_distance_10
Class1,P1,Class1_example_0029,,,,,0,39,[],300,39,line_distance_10
Class1,P1,Class1_example_0030,,,,,0,25,[],300,39,line_distance_10
Class1,P1,Class1_example_0031,,,,,0,33,[],300,39,line_distance_10
Class1,P1,Class1_example_0032,,,,,0,25,[],300,39,line_distance_10
Class1,P1,Class1_example_0033,,,,,0,26,[],300,39,line_distance_10
Class1,P1,Class1_example_0034,3.0,0.0286689855007074,3.0001369819942623,3.0001369819942623,1,39,[np.int64(36)],300,39,line_distance_10
Class1,P1,Class1_example_0035,,,,,0,32,[],300,39,line_distance_10
Class1,P1,Class1_example_0036,1.0,0.009529398625992558,1.000045403688339,1.000045403688339,1,36,[np.int64(35)],300,39,line_distance_10
Class1,P1,Class1_example_0037,,,,,0,37,[],300,39,line_distance_10
Class1,P1,Class1_example_0038,,,,,0,31,[],300,39,line_distance_10
Class1,P1,Class1_example_0039,,,,,0,25,[],300,39,line_distance_10
Class1,P1,Class1_example_0040,,,,,0,37,[],300,39,line_distance_10
Class1,P1,Class1_example_0041,,,,,0,36,[],300,39,line_distance_10
Class1,P1,Class1_example_0042,,,,,0,36,[],300,39,line_distance_10
Class1,P1,Class1_example_0043,,,,,0,35,[],300,39,line_distance_10
Class1,P1,Class1_example_0044,,,,,0,35,[],300,39,line_distance_10
Class1,P1,Class1_example_0045,,,,,0,41,[],300,39,line_distance_10
Class1,P1,Class1_example_0046,1.0,0.016559835687790292,1.0001371046801566,1.0001371046801566,1,34,[np.int64(33)],300,39,line_distance_10
Class1,P1,Class1_example_0047,,,,,0,37,[],300,39,line_distance_10
Class1,P1,Class1_example_0048,,,,,0,23,[],300,39,line_distance_10
Class1,P1,Class1_example_0049,,,,,0,36,[],300,39,line_distance_10
Class1,P1,Class1_example_0050,0.0,0.0,0.0,0.0,1,42,[np.int64(42)],300,39,line_distance_10
Class1,P1,Class1_example_0051,,,,,0,29,[],300,39,line_distance_10
Class1,P1,Class1_example_0052,,,,,0,31,[],300,39,line_distance_10
Class1,P1,Class1_example_0053,,,,,0,27,[],300,39,line_distance_10
Class1,P1,Class1_example_0054,,,,,0,35,[],300,39,line_distance_10
Class1,P1,Class1_example_0055,,,,,0,35,[],300,39,line_distance_10
Class1,P1,Class1_example_0056,,,,,0,28,[],300,39,line_distance_10
Class1,P1,Class1_example_0057,,,,,0,30,[],300,39,line_distance_10
Class1,P1,Class1_example_0058,,,,,0,27,[],300,39,line_distance_10
Class1,P1,Class1_example_0059,,,,,0,26,[],300,39,line_distance_10
Class1,P1,Class1_example_0060,,,,,0,30,[],300,39,line_distance_10
Class1,P1,Class1_example_0061,,,,,0,24,[],300,39,line_distance_10
Class1,P1,Class1_example_0062,,,,,0,27,[],300,39,line_distance_10
Class1,P1,Class1_example_0063,,,,,0,26,[],300,39,line_distance_10
Class1,P1,Class1_example_0064,,,,,0,36,[],300,39,line_distance_10
Class1,P1,Class1_example_0065,,,,,0,27,[],300,39,line_distance_10
Class1,P1,Class1_example_0066,,,,,0,33,[],300,39,line_distance_10
Class1,P1,Class1_example_0067,,,,,0,29,[],300,39,line_distance_10
Class1,P1,Class1_example_0068,,,,,0,60,[],300,39,line_distance_10
Class1,P1,Class1_example_0069,,,,,0,30,[],300,39,line_distance_10
