Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,,,,,0,31,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0002,2.5,0.005153318088026493,2.5000073058218106,2.000013020444643,2,31,"[np.int64(33), np.int64(34)]",300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0003,1.5,0.0023851560335873545,1.500002851755788,1.0000050762371766,2,33,"[np.int64(34), np.int64(35)]",300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0004,1.0,0.004614916421154525,1.0000114166989038,0.0,3,38,"[np.int64(38), np.int64(39), np.int64(40)]",300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0005,,,,,0,38,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0006,,,,,0,25,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0007,,,,,0,31,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0008,,,,,0,31,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0009,1.5,0.0015296163110896654,1.5000016833810625,1.0000033073950834,2,37,"[np.int64(38), np.int64(39)]",300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0010,,,,,0,29,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0011,4.0,0.021244204058181764,4.000065125061345,3.0001060763083953,3,28,"[np.int64(31), np.int64(32), np.int64(33)]",300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0012,,,,,0,29,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0013,,,,,0,38,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0014,1.5,0.0020579658052459204,1.5000018138825224,1.0000000565887686,2,35,"[np.int64(36), np.int64(37)]",300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0015,,,,,0,32,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0016,,,,,0,33,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0017,1.5,0.006514700890362268,1.5000162195227469,1.0000224048986879,2,32,"[np.int64(33), np.int64(34)]",300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0018,,,,,0,30,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0019,,,,,0,25,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0020,,,,,0,21,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0021,,,,,0,21,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0022,,,,,0,22,[],300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0023,1.5,0.0037004178811178012,1.500005612450328,1.0000085646096366,2,37,"[np.int64(38), np.int64(39)]",300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0024,2.0,0.002951835846264461,2.0000032068728215,1.000002537538669,3,44,"[np.int64(45), np.int64(46), np.int64(47)]",300,82,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0025,0.5,0.0006177497798423026,0.5000003816146449,0.0,2,38,"[np.int64(38), np.int64(39)]",300,82,modified_scholkmann_1-2_99
