Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,"concave_d2x=-0,002",5.408584169453735,0.028098141089650558,5.408681547664868,1.3846425108486198,1.1533333333333333,300.0,299.0
Class1,P2,"concave_d2x=-0,002",26.773132664437014,0.24938000057022083,26.774465197408116,25.3558127300208,1.1533333333333333,300.0,299.0
Class1,P3,"concave_d2x=-0,002",57.362876254180605,0.331763928202902,57.36398512757526,53.54285911201874,1.1533333333333333,300.0,299.0
Class2,P1,"concave_d2x=-0,002",10.917777777777777,0.03018864783913834,10.917845333384767,3.2756034846370174,1.13,300.0,225.0
Class2,P2,"concave_d2x=-0,002",21.288148148148146,0.041106062889158176,21.28822520298605,15.71558722117323,1.13,300.0,225.0
Class2,P3,"concave_d2x=-0,002",46.26148148148148,0.15088967607689652,46.26191722074918,38.48932862415754,1.13,300.0,225.0
Class3,P1,"concave_d2x=-0,002",25.832358674463936,0.277388299349684,25.83402044848793,20.650662633927787,0.76,300.0,171.0
Class3,P2,"concave_d2x=-0,002",8.964912280701755,0.054504655746005576,8.965140177503251,4.836346053461288,0.76,300.0,171.0
Class3,P3,"concave_d2x=-0,002",29.886939571150098,0.13240390962398854,29.887331796015484,24.865835503655646,0.76,300.0,171.0
Class4,P1,"concave_d2x=-0,002",,,,,0.06,100.0,6.0
Class4,P2,"concave_d2x=-0,002",0.8333333333333334,0.000694941315191914,0.8333337551137072,0.8333337551137072,0.06,100.0,6.0
Class4,P3,"concave_d2x=-0,002",,,,,0.06,100.0,6.0
