Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann_1-2_99,1.8192488262910798,0.0047999817992237,1.8192593515328825,1.295788571795972,0.4866666666666667,300.0,71.0
Class1,P2,modified_scholkmann_1-2_99,17.851132686084142,0.05178353314372434,17.851237332442665,17.281659479329335,0.6833333333333333,300.0,103.0
Class1,P3,modified_scholkmann_1-2_99,5.625960061443932,0.021647505296790184,5.626026299243664,5.106057730239966,1.4933333333333334,300.0,217.0
Class2,P1,modified_scholkmann_1-2_99,12.61111111111111,0.036016554787564305,12.611179193441258,12.18525678816022,0.16666666666666666,300.0,27.0
Class2,P2,modified_scholkmann_1-2_99,5.6226551226551225,0.013427938477892453,5.622678404407069,5.090932941032731,1.56,300.0,231.0
Class2,P3,modified_scholkmann_1-2_99,15.178649237472769,0.10368116192104761,15.179062763040916,14.693227860102008,1.0166666666666666,300.0,153.0
Class3,P1,modified_scholkmann_1-2_99,,,,,0.0,300.0,0.0
Class3,P2,modified_scholkmann_1-2_99,6.849122807017544,0.01873308227905231,6.8491654748311035,6.305306973864403,1.26,300.0,190.0
Class3,P3,modified_scholkmann_1-2_99,10.380183276059565,0.059824465412076505,10.380387465009589,9.580961901983242,2.0166666666666666,300.0,291.0
Class4,P1,modified_scholkmann_1-2_99,,,,,2.04,100.0,100.0
Class4,P2,modified_scholkmann_1-2_99,0.9253731343283582,0.000695046418657216,0.9253735559006134,0.5074630338533072,1.23,100.0,67.0
Class4,P3,modified_scholkmann_1-2_99,,,,,2.04,100.0,100.0
