Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,58.0,0.3789059264729951,58.00123786861323,57.00125850102768,3,31,"[np.int64(88), np.int64(89), np.int64(90)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0002,64.5,0.5269797559741571,64.50215286908764,64.00216995100342,2,31,"[np.int64(95), np.int64(96)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0003,39.0,0.3786164210813698,39.00183794959367,0.0,3,33,"[np.int64(33), np.int64(91), np.int64(92)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0004,0.5,0.0021694172668670353,0.5000047063491281,0.0,2,38,"[np.int64(38), np.int64(39)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0005,61.5,0.28528065422256443,61.50066177175361,61.00067331728904,2,38,"[np.int64(99), np.int64(100)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0006,52.5,0.29250357415752876,52.50081486818621,52.00081750517175,2,25,"[np.int64(77), np.int64(78)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0007,65.0,0.22350395547591537,65.00038433606403,64.00039281910753,3,31,"[np.int64(95), np.int64(96), np.int64(97)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0008,61.5,0.431529575421997,61.50151407702466,61.00152982858722,2,31,"[np.int64(92), np.int64(93)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0009,92.0,0.47660000882716763,92.00123455326805,91.00124531570263,3,37,"[np.int64(128), np.int64(129), np.int64(130)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0010,56.5,0.5106873696493226,56.502308087113946,56.002325562566966,2,29,"[np.int64(85), np.int64(86)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0011,44.666666666666664,0.32453673822860357,44.66785341380862,1.0000001278868464,3,28,"[np.int64(29), np.int64(94), np.int64(95)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0012,75.5,0.4202319282072846,75.50116952560603,75.00117405203369,2,29,"[np.int64(104), np.int64(105)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0013,0.5,0.00018437845236929373,0.5000000339954126,0.0,2,38,"[np.int64(38), np.int64(39)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0014,0.5,0.001563651728545501,0.5000024450007502,0.0,2,35,"[np.int64(35), np.int64(36)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0015,58.5,0.2799990817098476,58.50067012752899,58.000676010709995,2,32,"[np.int64(90), np.int64(91)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0016,55.5,0.1601850763592252,55.50023117856719,55.00023276468263,2,33,"[np.int64(88), np.int64(89)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0017,26.5,0.30285175014435806,26.501730795469275,26.001743817019115,2,32,"[np.int64(58), np.int64(59)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0018,64.5,0.4145082816489762,64.5013319926372,64.00134365813011,2,30,"[np.int64(94), np.int64(95)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0019,58.5,0.16312635684611687,58.500227448149516,58.00022865524247,2,25,"[np.int64(83), np.int64(84)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0020,52.5,0.2374436146548537,52.5005369685926,52.00053903495353,2,21,"[np.int64(73), np.int64(74)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0021,56.5,0.329821596947156,56.50096270804099,56.00096677624112,2,21,"[np.int64(77), np.int64(78)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0022,56.5,0.23966445416510695,56.50050834283202,56.000512272714346,2,22,"[np.int64(78), np.int64(79)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0023,0.5,0.002648275272422118,0.5000070133127319,0.0,2,37,"[np.int64(37), np.int64(38)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0024,0.5,0.0008897551739799892,0.5000007916636429,0.0,2,44,"[np.int64(44), np.int64(45)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0025,62.333333333333336,0.5342573955527882,62.33562291465506,0.0,3,38,"[np.int64(38), np.int64(131), np.int64(132)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0026,0.5,0.002196119241403005,0.500004822916462,0.0,2,39,"[np.int64(39), np.int64(40)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0027,60.5,0.40810452560572585,60.50137652209368,60.001388283298866,2,31,"[np.int64(91), np.int64(92)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0028,74.5,0.5777296165515088,74.50224013648625,74.00225395700984,2,31,"[np.int64(105), np.int64(106)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0029,78.5,0.3141136305515897,78.50062848295309,78.00063328848312,2,39,"[np.int64(117), np.int64(118)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0030,61.5,0.1288801241640945,61.500135050609074,61.000131698984184,2,25,"[np.int64(86), np.int64(87)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0031,72.5,0.23236234275247702,72.50037236350755,72.0003722550338,2,33,"[np.int64(105), np.int64(106)]",300,300,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0032,62.5,0.13892644883101923,62.50015441211711,62.00015537769178,2,25,"[np.int64(87), np.int64(88)]",300,300,modified_scholkmann_1-2_99
