Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,"concave_d2x=-0,002",0.21071428571428572,0.0002083815876890553,0.2107144673481549,0.2107144673481549,0.9333333333333333,300.0,280.0
Class1,P2,"concave_d2x=-0,002",6.48,0.02225997960557967,6.48005781947031,4.043513213756868,0.49,300.0,115.0
Class1,P3,"concave_d2x=-0,002",9.440972222222223,0.03149661518035184,9.441059963929389,5.516711181592074,0.5466666666666666,300.0,120.0
Class2,P1,"concave_d2x=-0,002",1.7331932773109244,0.0032051476190201695,1.7331977693591847,0.4663879294563001,0.8866666666666667,300.0,238.0
Class2,P2,"concave_d2x=-0,002",5.4498106060606055,0.008919928745173762,5.449822236515818,3.1931894051262573,0.7133333333333334,300.0,176.0
Class2,P3,"concave_d2x=-0,002",9.486805555555556,0.050608509161098186,9.486981835883944,6.816787985572836,0.5033333333333333,300.0,120.0
Class3,P1,"concave_d2x=-0,002",0.5434782608695652,0.0009636293267297179,0.5434798471851496,0.5000015093306748,0.4666666666666667,300.0,138.0
Class3,P2,"concave_d2x=-0,002",3.2665369649805447,0.009679124754072265,3.2665614075010057,2.307416978104982,0.96,300.0,257.0
Class3,P3,"concave_d2x=-0,002",14.665094339622641,0.05911916321304551,14.665267245705987,10.505800046444284,1.25,300.0,265.0
Class4,P1,"concave_d2x=-0,002",,,,,0.64,100.0,49.0
Class4,P2,"concave_d2x=-0,002",0.4117647058823529,0.0005675476466291865,0.4117650970161408,0.4117650970161408,0.34,100.0,34.0
Class4,P3,"concave_d2x=-0,002",,,,,0.64,100.0,49.0
