Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave,36.20944444444444,0.2225941633275885,36.21031649402173,1.3833603729518942,2.6033333333333335,300.0,300.0
Class1,P2,concave,31.29133333333333,0.19531240488359894,31.292168713443072,15.884227089901545,2.6033333333333335,300.0,300.0
Class1,P3,concave,35.30144444444444,0.18945332025142045,35.30205227132359,3.036716423828971,2.6033333333333335,300.0,300.0
Class2,P1,concave,27.829000000000004,0.08347997509106285,27.829219000287946,3.956718012919871,2.6433333333333335,300.0,300.0
Class2,P2,concave,19.637999999999998,0.08191632314858976,19.63829601533702,3.0233453462084414,2.6433333333333335,300.0,300.0
Class2,P3,concave,33.43666666666667,0.16095036113510613,33.437249186585575,10.333702122016376,2.6433333333333335,300.0,300.0
Class3,P1,concave,36.538888888888884,0.34594584695174535,36.540934242326614,24.21204990085606,1.8833333333333333,300.0,300.0
Class3,P2,concave,11.889444444444445,0.05751510542733372,11.889667935518617,3.013360484921763,1.8833333333333333,300.0,300.0
Class3,P3,concave,19.223333333333333,0.09059763871592492,19.22361651360765,7.746819962952115,1.8833333333333333,300.0,300.0
Class4,P1,concave,,,,,1.03,100.0,100.0
Class4,P2,concave,1.595,0.005228219708259918,1.5950189367744378,0.9100004594525478,1.03,100.0,100.0
Class4,P3,concave,,,,,1.03,100.0,100.0
