Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,,,,,0,31,[],300,108,line_distance_10
Class1,P1,Class1_example_0002,0.0,0.0,0.0,0.0,1,31,[np.int64(31)],300,108,line_distance_10
Class1,P1,Class1_example_0003,1.0,0.01417238242085106,1.000100423169335,1.000100423169335,1,33,[np.int64(32)],300,108,line_distance_10
Class1,P1,Class1_example_0004,2.0,0.018082325465392124,2.000081740953163,2.000081740953163,1,38,[np.int64(36)],300,108,line_distance_10
Class1,P1,Class1_example_0005,3.0,0.025467510785115666,3.000108097070102,3.000108097070102,1,38,[np.int64(35)],300,108,line_distance_10
Class1,P1,Class1_example_0006,1.0,0.01634407721069664,1.0001335555113973,1.0001335555113973,1,25,[np.int64(26)],300,108,line_distance_10
Class1,P1,Class1_example_0007,,,,,0,31,[],300,108,line_distance_10
Class1,P1,Class1_example_0008,3.0,0.020098747912495885,3.0000673258558135,3.0000673258558135,1,31,[np.int64(34)],300,108,line_distance_10
Class1,P1,Class1_example_0009,1.0,0.013036085067998138,1.000084966147327,1.000084966147327,1,37,[np.int64(36)],300,108,line_distance_10
Class1,P1,Class1_example_0010,,,,,0,29,[],300,108,line_distance_10
Class1,P1,Class1_example_0011,,,,,0,28,[],300,108,line_distance_10
Class1,P1,Class1_example_0012,,,,,0,29,[],300,108,line_distance_10
Class1,P1,Class1_example_0013,3.0,0.027423609339506605,3.000125339773191,3.000125339773191,1,38,[np.int64(35)],300,108,line_distance_10
Class1,P1,Class1_example_0014,1.0,0.0098294631350897,1.0000483080059304,1.0000483080059304,1,35,[np.int64(34)],300,108,line_distance_10
Class1,P1,Class1_example_0015,1.0,0.012368838763996193,1.000076491160736,1.000076491160736,1,32,[np.int64(31)],300,108,line_distance_10
Class1,P1,Class1_example_0016,2.0,0.023033180326672564,2.00013262745148,2.00013262745148,1,33,[np.int64(31)],300,108,line_distance_10
Class1,P1,Class1_example_0017,,,,,0,32,[],300,108,line_distance_10
Class1,P1,Class1_example_0018,,,,,0,30,[],300,108,line_distance_10
Class1,P1,Class1_example_0019,2.0,0.03961929052799806,2.000392383554272,2.000392383554272,1,25,[np.int64(27)],300,108,line_distance_10
Class1,P1,Class1_example_0020,,,,,0,21,[],300,108,line_distance_10
Class1,P1,Class1_example_0021,,,,,0,21,[],300,108,line_distance_10
Class1,P1,Class1_example_0022,,,,,0,22,[],300,108,line_distance_10
Class1,P1,Class1_example_0023,,,,,0,37,[],300,108,line_distance_10
Class1,P1,Class1_example_0024,,,,,0,44,[],300,108,line_distance_10
Class1,P1,Class1_example_0025,,,,,0,38,[],300,108,line_distance_10
Class1,P1,Class1_example_0026,,,,,0,39,[],300,108,line_distance_10
Class1,P1,Class1_example_0027,3.0,0.03292574427500594,3.000180678665214,3.000180678665214,1,31,[np.int64(34)],300,108,line_distance_10
Class1,P1,Class1_example_0028,4.0,0.022594915028199103,4.000063815764085,4.000063815764085,1,31,[np.int64(35)],300,108,line_distance_10
Class1,P1,Class1_example_0029,1.0,0.01149035487981731,1.0000660119488434,1.0000660119488434,1,39,[np.int64(38)],300,108,line_distance_10
Class1,P1,Class1_example_0030,,,,,0,25,[],300,108,line_distance_10
Class1,P1,Class1_example_0031,,,,,0,33,[],300,108,line_distance_10
