Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,32.5,0.19264957655951276,32.50057868267026,5.000172767560762,2,31,"[np.int64(36), np.int64(91)]",300,300,concave
Class1,P1,Class1_example_0002,35.5,0.247761662283027,35.500865372109374,3.0000956569225385,2,31,"[np.int64(34), np.int64(99)]",300,300,concave
Class1,P1,Class1_example_0003,32.0,0.28226413638855985,32.00125061169145,3.000056157045165,2,33,"[np.int64(36), np.int64(94)]",300,300,concave
Class1,P1,Class1_example_0004,33.5,0.2654951723933902,33.5010611063065,1.000001896601567,2,38,"[np.int64(39), np.int64(104)]",300,300,concave
Class1,P1,Class1_example_0005,33.666666666666664,0.22714288514147854,33.66756002184466,0.0,3,38,"[np.int64(38), np.int64(75), np.int64(102)]",300,300,concave
Class1,P1,Class1_example_0006,28.0,0.13858536098530766,28.000360971296306,4.00016340883809,2,25,"[np.int64(29), np.int64(77)]",300,300,concave
Class1,P1,Class1_example_0007,35.0,0.10368383921284069,35.00016742015196,3.0000770214693318,2,31,"[np.int64(34), np.int64(98)]",300,300,concave
Class1,P1,Class1_example_0008,33.5,0.22040745110197885,33.50072506984317,3.0000673258558135,2,31,"[np.int64(34), np.int64(95)]",300,300,concave
Class1,P1,Class1_example_0009,46.5,0.2287736016062723,46.50056294194526,3.000029577802932,2,37,"[np.int64(40), np.int64(127)]",300,300,concave
Class1,P1,Class1_example_0010,30.5,0.2553973815304596,30.50107090755655,4.000184440523322,2,29,"[np.int64(33), np.int64(86)]",300,300,concave
Class1,P1,Class1_example_0011,37.5,0.23722165459938702,37.50077583974117,5.000285777962876,2,28,"[np.int64(33), np.int64(98)]",300,300,concave
Class1,P1,Class1_example_0012,40.0,0.1840024811167767,40.00042349506954,3.000040650164107,2,29,"[np.int64(32), np.int64(106)]",300,300,concave
Class1,P1,Class1_example_0013,32.5,0.19272728068110034,32.500574816415,1.0000026046006365,2,38,"[np.int64(39), np.int64(102)]",300,300,concave
Class1,P1,Class1_example_0014,30.5,0.26261723078207,30.50114437568566,2.0000118874517954,2,35,"[np.int64(37), np.int64(94)]",300,300,concave
Class1,P1,Class1_example_0015,31.0,0.13763801458487251,31.000305593004942,3.000026556294195,2,32,"[np.int64(35), np.int64(91)]",300,300,concave
Class1,P1,Class1_example_0016,28.0,0.07291615719929767,28.00009495894125,2.00000775303968,2,33,"[np.int64(35), np.int64(87)]",300,300,concave
Class1,P1,Class1_example_0017,3.0,0.020619974969464105,3.0000708630576947,3.0000708630576947,1,32,[np.int64(35)],300,300,concave
Class1,P1,Class1_example_0018,36.5,0.18431779130906234,36.50046824251467,4.000089628194926,2,30,"[np.int64(34), np.int64(99)]",300,300,concave
Class1,P1,Class1_example_0019,32.5,0.07285796528194827,32.500225028285165,6.000400617668453,2,25,"[np.int64(31), np.int64(84)]",300,300,concave
Class1,P1,Class1_example_0020,29.0,0.10124688749693112,29.000311768123556,7.000481429561968,2,21,"[np.int64(28), np.int64(72)]",300,300,concave
Class1,P1,Class1_example_0021,30.5,0.13589989213364523,30.500389963806168,6.000410358662242,2,21,"[np.int64(27), np.int64(76)]",300,300,concave
Class1,P1,Class1_example_0022,30.5,0.09138665211633551,30.500249345194288,6.000377481390204,2,22,"[np.int64(28), np.int64(77)]",300,300,concave
Class1,P1,Class1_example_0023,39.5,0.28538772884881064,39.501031938798384,4.000078283190013,2,37,"[np.int64(41), np.int64(112)]",300,300,concave
Class1,P1,Class1_example_0024,47.0,0.38652893990208104,47.00159508016367,2.000023860506898,2,44,"[np.int64(46), np.int64(136)]",300,300,concave
Class1,P1,Class1_example_0025,42.0,0.3691019540043241,42.00164208679163,2.0000062446829125,2,38,"[np.int64(40), np.int64(120)]",300,300,concave
Class1,P1,Class1_example_0026,63.333333333333336,0.5420755408496232,63.3357345365506,3.000037768321805,3,39,"[np.int64(42), np.int64(111), np.int64(154)]",300,300,concave
Class1,P1,Class1_example_0027,33.0,0.20723972269807955,33.000652949902296,5.000142976975577,2,31,"[np.int64(36), np.int64(92)]",300,300,concave
Class1,P1,Class1_example_0028,38.5,0.27090850315994347,38.50095334126497,3.0000858394723324,2,31,"[np.int64(34), np.int64(105)]",300,300,concave
Class1,P1,Class1_example_0029,41.0,0.2053381547890061,41.000592297416055,2.0000164977111163,3,39,"[np.int64(41), np.int64(82), np.int64(117)]",300,300,concave
Class1,P1,Class1_example_0030,33.0,0.04473088513309398,33.000075509002016,4.000123910633012,2,25,"[np.int64(29), np.int64(87)]",300,300,concave
Class1,P1,Class1_example_0031,63.5,0.3250758240022632,63.50094927366294,1.0000125875596528,4,33,"[np.int64(34), np.int64(71), np.int64(106), np.int64(175)]",300,300,concave
Class1,P1,Class1_example_0032,33.0,0.054059924884775845,33.00009240545954,4.000139844199803,2,25,"[np.int64(29), np.int64(87)]",300,300,concave
Class1,P1,Class1_example_0033,31.0,0.07518348651654798,31.00011137160727,3.0001059656927946,3,26,"[np.int64(29), np.int64(59), np.int64(83)]",300,300,concave
Class1,P1,Class1_example_0034,32.0,0.1848379134779768,32.00053650401774,1.0000031953176882,2,39,"[np.int64(40), np.int64(102)]",300,300,concave
Class1,P1,Class1_example_0035,32.0,0.11464570006638208,32.0002116414722,4.0000721852458145,2,32,"[np.int64(36), np.int64(92)]",300,300,concave
Class1,P1,Class1_example_0036,38.5,0.200104524211553,38.500521496942824,2.000012259405107,2,36,"[np.int64(38), np.int64(111)]",300,300,concave
Class1,P1,Class1_example_0037,35.666666666666664,0.1448208744495757,35.666990361153154,1.000003587322861,3,37,"[np.int64(38), np.int64(77), np.int64(103)]",300,300,concave
Class1,P1,Class1_example_0038,17.0,0.10246516457495924,17.000308962933268,3.0000466190296393,2,31,"[np.int64(34), np.int64(62)]",300,300,concave
Class1,P1,Class1_example_0039,22.0,0.12644230157713893,22.000402113397055,5.0003019512983835,2,25,"[np.int64(30), np.int64(64)]",300,300,concave
Class1,P1,Class1_example_0040,4.0,0.02007047349570179,4.000050352671368,4.000050352671368,1,37,[np.int64(41)],300,300,concave
Class1,P1,Class1_example_0041,3.0,0.021999250479517674,3.0000806600859353,3.0000806600859353,1,36,[np.int64(39)],300,300,concave
Class1,P1,Class1_example_0042,3.0,0.01220701505759203,3.000024835099972,3.000024835099972,1,36,[np.int64(39)],300,300,concave
Class1,P1,Class1_example_0043,27.5,0.039303561167988776,27.500028443815026,2.000005102270652,2,35,"[np.int64(37), np.int64(88)]",300,300,concave
Class1,P1,Class1_example_0044,25.5,0.0792963810647424,25.500128867084577,2.0000407386082157,2,35,"[np.int64(37), np.int64(84)]",300,300,concave
Class1,P1,Class1_example_0045,35.333333333333336,0.19506488606975536,35.33388080964096,2.0000159030692615,3,41,"[np.int64(43), np.int64(76), np.int64(110)]",300,300,concave
Class1,P1,Class1_example_0046,35.0,0.20453602439938123,35.000598441793656,4.000090173660786,2,34,"[np.int64(38), np.int64(100)]",300,300,concave
Class1,P1,Class1_example_0047,29.5,0.11201079595691288,29.500212719788504,2.0000117703177462,2,37,"[np.int64(39), np.int64(94)]",300,300,concave
Class1,P1,Class1_example_0048,30.0,0.0575810371836849,30.000172084814132,5.000312218007818,2,23,"[np.int64(28), np.int64(78)]",300,300,concave
Class1,P1,Class1_example_0049,37.5,0.15843766838831247,37.500335021107226,2.0000251757940455,2,36,"[np.int64(38), np.int64(109)]",300,300,concave
Class1,P1,Class1_example_0050,44.666666666666664,0.2509193407292418,44.66764073692303,2.0000181178650585,3,42,"[np.int64(44), np.int64(84), np.int64(132)]",300,300,concave
Class1,P1,Class1_example_0051,59.5,0.27067785348479617,59.50066646890399,3.0000847208045394,4,29,"[np.int64(32), np.int64(64), np.int64(96), np.int64(162)]",300,300,concave
Class1,P1,Class1_example_0052,66.66666666666667,0.2939166963938174,66.66735013857344,2.000042761169866,3,31,"[np.int64(33), np.int64(96), np.int64(164)]",300,300,concave
Class1,P1,Class1_example_0053,67.33333333333333,0.31270776963935204,67.33406531540592,2.0000194177212043,3,27,"[np.int64(29), np.int64(93), np.int64(161)]",300,300,concave
Class1,P1,Class1_example_0054,31.333333333333332,0.10339480571094765,31.333525092897002,3.000108127062858,3,35,"[np.int64(38), np.int64(71), np.int64(90)]",300,300,concave
Class1,P1,Class1_example_0055,24.0,0.07544007884994569,24.000119676357816,3.0000280090264155,2,35,"[np.int64(38), np.int64(80)]",300,300,concave
Class1,P1,Class1_example_0056,17.5,0.06599262316155596,17.500152233027123,4.000152549550972,2,28,"[np.int64(32), np.int64(59)]",300,300,concave
Class1,P1,Class1_example_0057,69.0,0.4325048467690377,69.001358582071,5.00015250693688,2,30,"[np.int64(35), np.int64(163)]",300,300,concave
Class1,P1,Class1_example_0058,30.5,0.247593929291615,30.50100547641637,3.0000798956503556,2,27,"[np.int64(30), np.int64(85)]",300,300,concave
Class1,P1,Class1_example_0059,35.5,0.30815040129216564,35.50133943818655,4.0002027932083655,2,26,"[np.int64(30), np.int64(93)]",300,300,concave
Class1,P1,Class1_example_0060,30.0,0.27181691287776993,30.00123259626771,3.0000917338786395,2,30,"[np.int64(33), np.int64(87)]",300,300,concave
Class1,P1,Class1_example_0061,31.0,0.11510688463963414,31.0003060571988,6.000374338754844,2,24,"[np.int64(30), np.int64(80)]",300,300,concave
Class1,P1,Class1_example_0062,29.0,0.15805529565044735,29.000438567687457,5.000153923380773,2,27,"[np.int64(32), np.int64(80)]",300,300,concave
Class1,P1,Class1_example_0063,27.5,0.08559348548911233,27.500157385389077,3.000111810124816,2,26,"[np.int64(29), np.int64(78)]",300,300,concave
Class1,P1,Class1_example_0064,32.5,0.10892668841121794,32.50019834364752,4.000103764422554,2,36,"[np.int64(40), np.int64(97)]",300,300,concave
Class1,P1,Class1_example_0065,65.66666666666667,0.30461366150696384,65.6673871198131,3.0001348946476956,3,27,"[np.int64(30), np.int64(89), np.int64(159)]",300,300,concave
Class1,P1,Class1_example_0066,26.5,0.05994446616142052,26.500078639805604,2.000046645735246,2,33,"[np.int64(35), np.int64(84)]",300,300,concave
Class1,P1,Class1_example_0067,30.5,0.08407767835633972,30.500141333447107,4.000116525805792,2,29,"[np.int64(33), np.int64(86)]",300,300,concave
Class1,P1,Class1_example_0068,34.0,0.38937549290153933,34.002802159598055,5.000209055395446,3,60,"[np.int64(20), np.int64(65), np.int64(117)]",300,300,concave
Class1,P1,Class1_example_0069,38.5,0.1417142386750781,38.500274733808304,4.000106969542943,2,30,"[np.int64(34), np.int64(103)]",300,300,concave
Class1,P1,Class1_example_0070,37.333333333333336,0.22890075245223537,37.33406990843358,1.0000041185905062,3,38,"[np.int64(39), np.int64(68), np.int64(119)]",300,300,concave
Class1,P1,Class1_example_0071,41.0,0.20189960875788637,41.000497140729365,3.0000336035351536,2,34,"[np.int64(37), np.int64(113)]",300,300,concave
