Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,1.0,0.002417227237956565,1.0000029214894923,1.0000029214894923,1,39,[np.int64(40)],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0002,0.0,0.0,0.0,0.0,1,40,[np.int64(40)],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0003,,,,,0,40,[],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0004,,,,,0,42,[],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0005,,,,,0,39,[],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0006,,,,,0,41,[],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0007,,,,,0,42,[],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0008,,,,,0,38,[],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0009,,,,,0,38,[],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0010,,,,,0,41,[],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0011,,,,,0,35,[],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0012,,,,,0,36,[],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0013,0.0,0.0,0.0,0.0,1,36,[np.int64(36)],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0014,0.0,0.0,0.0,0.0,1,41,[np.int64(41)],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0015,3.0,0.03401586374942389,3.000192840299873,3.000192840299873,1,23,[np.int64(26)],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0016,0.0,0.0,0.0,0.0,1,29,[np.int64(29)],250,193,"concave_d2x=-0,002"
Class1,P1,Class1_it2_example_0017,3.0,0.025520851038461245,3.000108550342425,3.000108550342425,1,27,[np.int64(30)],250,193,"concave_d2x=-0,002"
