Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,"concave_d2x=0,002",1.6091370558375635,0.0078704265589084,1.6091624304343737,1.5330201432592483,0.792,250.0,197.0
Class1,P2,"concave_d2x=0,002",23.298941798941797,0.07218787958259884,23.299101510384446,19.243532671759425,0.988,250.0,189.0
Class1,P3,"concave_d2x=0,002",5.008658008658009,0.01419678937007538,5.0086932787420695,2.290058472718395,1.084,250.0,231.0
Class2,P1,"concave_d2x=0,002",5.405797101449275,0.018602614202467182,5.405846990360591,3.1836272235979934,1.012,250.0,207.0
Class2,P2,"concave_d2x=0,002",8.725941422594142,0.018934815976790722,8.725973136165825,4.033491271808591,1.292,250.0,239.0
Class2,P3,"concave_d2x=0,002",11.124595469255663,0.06890013240458641,11.124875919068334,6.927399801896501,1.044,250.0,206.0
Class3,P1,"concave_d2x=0,002",2.6,0.01041682018074563,2.60002678008962,2.60002678008962,0.14,250.0,35.0
Class3,P2,"concave_d2x=0,002",3.3676470588235294,0.008797332255920077,3.367665027645133,1.882361147238457,1.084,250.0,238.0
Class3,P3,"concave_d2x=0,002",17.84660766961652,0.10520583957413748,17.847025344370376,12.796849537747935,1.276,250.0,226.0
Class4,P1,"concave_d2x=0,002",,,,,1.06,50.0,50.0
Class4,P2,"concave_d2x=0,002",0.9318181818181818,0.0008875862247768696,0.9318186875457914,0.9318186875457914,0.88,50.0,44.0
Class4,P3,"concave_d2x=0,002",,,,,1.06,50.0,50.0
