Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,"concave_d2x=-0,002",1.5151515151515151,0.007328607738045526,1.5151772918801842,1.3636628650378573,0.932,250.0,231.0
Class1,P2,"concave_d2x=-0,002",19.757575757575758,0.18673309678228775,19.758868620414027,18.54669408279737,0.144,250.0,33.0
Class1,P3,"concave_d2x=-0,002",11.058823529411764,0.012351525075496295,11.058837114629396,11.058837114629396,0.068,250.0,17.0
Class2,P1,"concave_d2x=-0,002",3.6104294478527605,0.014841084725457388,3.610475691604369,2.233173530962301,0.724,250.0,163.0
Class2,P2,"concave_d2x=-0,002",15.252032520325203,0.029158564756140478,15.252074050779276,10.821168210798348,0.628,250.0,123.0
Class2,P3,"concave_d2x=-0,002",24.49537037037037,0.14552686182504918,24.495904679837917,21.347729836308183,0.344,250.0,72.0
Class3,P1,"concave_d2x=-0,002",2.3043478260869565,0.01082109942258359,2.3043802798761526,2.3043802798761526,0.092,250.0,23.0
Class3,P2,"concave_d2x=-0,002",2.34375,0.009098382629302513,2.343771740063846,1.8214412598521694,0.464,250.0,112.0
Class3,P3,"concave_d2x=-0,002",25.317307692307693,0.16612659247235845,25.318020546368366,24.83724343940332,0.428,250.0,104.0
Class4,P1,"concave_d2x=-0,002",,,,,0.24,50.0,12.0
Class4,P2,"concave_d2x=-0,002",0.4166666666666667,0.0003986202778061554,0.41666689493673953,0.41666689493673953,0.24,50.0,12.0
Class4,P3,"concave_d2x=-0,002",,,,,0.24,50.0,12.0
