Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,curvature,5.2272727272727275,0.050430518619855376,5.227618341971081,3.79257785133396,1.036,250.0,231.0
Class1,P2,curvature,18.066934404283803,0.07471462955295029,18.067182104167628,3.6828176566917183,1.96,250.0,249.0
Class1,P3,curvature,20.793666666666667,0.1156250077735021,20.794090193555807,3.0640116274296902,2.38,250.0,250.0
Class2,P1,curvature,9.079831932773109,0.06195968203261637,9.080235354990506,4.954283335846908,1.324,250.0,238.0
Class2,P2,curvature,11.083333333333334,0.03284970492755886,11.083406456525251,2.176023764525329,1.628,250.0,250.0
Class2,P3,curvature,19.729333333333333,0.1435028741772966,19.729954225531042,3.45203069427343,2.26,250.0,250.0
Class3,P1,curvature,2.7730923694779115,0.048373253844160524,2.773550297281949,2.667112614936833,1.008,250.0,249.0
Class3,P2,curvature,5.473684210526316,0.01888825415322059,5.473731076195947,2.2024474893519557,1.288,250.0,247.0
Class3,P3,curvature,16.487,0.09555783018182887,16.487406479478665,5.420186729942646,2.036,250.0,250.0
Class4,P1,curvature,,,,,4.82,50.0,50.0
Class4,P2,curvature,2.6041666666666665,0.007171768190131393,2.604181023712137,2.3958497919322483,1.02,50.0,48.0
Class4,P3,curvature,,,,,4.82,50.0,50.0
