Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,14.5,0.044086114966313907,14.500069327795803,1.0000029214894923,10,39,"[np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(63), np.int64(64), np.int64(65), np.int64(66), np.int64(67)]",250,141,modified_scholkmann_1_95
Class1,P1,Class1_it2_example_0002,3.7,0.016779397382070117,3.700042343857651,0.0,10,40,"[np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(48)]",250,141,modified_scholkmann_1_95
Class1,P1,Class1_it2_example_0003,4.181818181818182,0.01371037252046723,4.181843023433557,0.0,11,40,"[np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(48), np.int64(49)]",250,141,modified_scholkmann_1_95
Class1,P1,Class1_it2_example_0004,3.2222222222222223,0.011363628362094999,3.2222441262231487,0.0,9,42,"[np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(48), np.int64(49)]",250,141,modified_scholkmann_1_95
Class1,P1,Class1_it2_example_0005,3.2222222222222223,0.011766281223883691,3.2222462883219922,0.0,9,39,"[np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46)]",250,141,modified_scholkmann_1_95
Class1,P1,Class1_it2_example_0006,4.0,0.015705310552261653,4.000033339228541,1.0000020782057288,7,41,"[np.int64(40), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(48)]",250,141,modified_scholkmann_1_95
Class1,P1,Class1_it2_example_0007,3.2222222222222223,0.012218738749959391,3.2222478487679678,0.0,9,42,"[np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(48), np.int64(49)]",250,141,modified_scholkmann_1_95
Class1,P1,Class1_it2_example_0008,21.0,0.06923047462810754,21.0001164392734,1.0000028692443876,9,38,"[np.int64(39), np.int64(40), np.int64(41), np.int64(66), np.int64(67), np.int64(68), np.int64(69), np.int64(70), np.int64(71)]",250,141,modified_scholkmann_1_95
Class1,P1,Class1_it2_example_0009,14.545454545454545,0.05263032480298988,14.545551367385814,0.0,11,38,"[np.int64(38), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(65), np.int64(66), np.int64(67), np.int64(68), np.int64(69)]",250,141,modified_scholkmann_1_95
Class1,P1,Class1_it2_example_0010,4.714285714285714,0.014074182210339578,4.714308991913741,0.0,7,41,"[np.int64(41), np.int64(44), np.int64(45), np.int64(46), np.int64(47), np.int64(48), np.int64(49)]",250,141,modified_scholkmann_1_95
Class1,P1,Class1_it2_example_0011,8.0,0.03171645410042328,8.000067187989018,5.0000073588586815,7,35,"[np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46)]",250,141,modified_scholkmann_1_95
Class1,P1,Class1_it2_example_0012,6.0,0.02326924897772515,6.000047159016319,3.0000056307791034,7,36,"[np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45)]",250,141,modified_scholkmann_1_95
Class1,P1,Class1_it2_example_0013,2.2857142857142856,0.011159451550548347,2.285744478269313,0.0,7,36,"[np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(39), np.int64(40), np.int64(41)]",250,141,modified_scholkmann_1_95
