Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,,,,,0,39,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0002,0.5,0.00011405703776101728,0.5000000130090076,0.0,2,40,"[np.int64(40), np.int64(41)]",250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0003,,,,,0,40,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0004,,,,,0,42,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0005,,,,,0,39,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0006,,,,,0,41,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0007,,,,,0,42,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0008,,,,,0,38,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0009,,,,,0,38,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0010,,,,,0,41,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0011,,,,,0,35,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0012,,,,,0,36,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0013,0.5,0.0011140845315321113,0.5000012411828029,0.0,2,36,"[np.int64(36), np.int64(37)]",250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0014,,,,,0,41,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0015,,,,,0,23,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0016,,,,,0,29,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0017,,,,,0,27,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0018,,,,,0,28,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0019,,,,,0,28,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0020,1.5,0.0013688210700165127,1.500000631797868,1.0000002992204493,2,37,"[np.int64(38), np.int64(39)]",250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0021,2.5,0.0033803420875762047,2.500003477159385,2.0000064925019805,2,37,"[np.int64(39), np.int64(40)]",250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0022,,,,,0,41,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0023,0.0,0.0,0.0,0.0,1,45,[np.int64(45)],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0024,0.5,0.0008740192366739064,0.5000007639090425,0.0,2,46,"[np.int64(46), np.int64(47)]",250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0025,,,,,0,43,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0026,,,,,0,41,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0027,,,,,0,44,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0028,,,,,0,45,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0029,,,,,0,58,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0030,,,,,0,28,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0031,,,,,0,27,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0032,,,,,0,34,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0033,,,,,0,34,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0034,,,,,0,31,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0035,,,,,0,39,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0036,,,,,0,40,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0037,,,,,0,39,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0038,,,,,0,38,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0039,,,,,0,29,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0040,,,,,0,29,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0041,,,,,0,33,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0042,2.5,0.0037535655122212797,2.500003820649116,2.0000067517028484,2,43,"[np.int64(45), np.int64(46)]",250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0043,,,,,0,35,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0044,,,,,0,28,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0045,,,,,0,30,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0046,,,,,0,29,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0047,,,,,0,29,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0048,,,,,0,30,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0049,,,,,0,30,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0050,,,,,0,61,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0051,,,,,0,30,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0052,2.0,0.0023907032850536414,2.000001990160648,1.0000013637293343,3,37,"[np.int64(38), np.int64(39), np.int64(40)]",250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0053,,,,,0,36,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0054,,,,,0,35,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0055,,,,,0,67,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0056,,,,,0,30,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0057,4.0,0.0010144102271942845,4.000000128628511,4.000000128628511,1,33,[np.int64(37)],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0058,1.0,0.0008602097427247898,1.000000500369757,0.0,3,45,"[np.int64(45), np.int64(46), np.int64(47)]",250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0059,,,,,0,33,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0060,,,,,0,28,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0061,1.5,0.0029353949877032326,1.5000033889956406,1.0000049012331658,2,41,"[np.int64(42), np.int64(43)]",250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0062,,,,,0,31,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0063,0.5,0.00048732757309599695,0.5000002374881071,0.0,2,46,"[np.int64(46), np.int64(47)]",250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0064,1.5,0.0015877826830712483,1.5000009419633002,1.000001246724357,2,40,"[np.int64(41), np.int64(42)]",250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0065,3.0,0.0054833580567447875,3.000009368350097,2.0000205190428653,3,42,"[np.int64(44), np.int64(45), np.int64(46)]",250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0066,,,,,0,42,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0067,0.5,0.002101242889883115,0.5000044152021883,0.0,2,43,"[np.int64(43), np.int64(44)]",250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0068,,,,,0,22,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0069,,,,,0,24,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0070,,,,,0,33,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0071,,,,,0,24,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0072,,,,,0,25,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0073,,,,,0,25,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0074,,,,,0,31,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0075,,,,,0,38,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0076,,,,,0,27,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0077,,,,,0,32,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0078,,,,,0,31,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0079,,,,,0,36,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0080,,,,,0,37,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0081,,,,,0,28,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0082,,,,,0,37,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0083,,,,,0,26,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0084,,,,,0,33,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0085,,,,,0,24,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0086,,,,,0,32,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0087,,,,,0,29,[],250,57,modified_scholkmann_1_99
Class1,P1,Class1_it2_example_0088,,,,,0,31,[],250,57,modified_scholkmann_1_99
