Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave,0.4254032258064516,0.0012639991369941205,0.42540540103887553,0.20564638639775248,1.024,250.0,248.0
Class1,P2,concave,20.155751092707614,0.07142289608631426,20.155938156327853,12.241696836407986,1.784,250.0,207.0
Class1,P3,concave,8.537757263922519,0.03416905400322191,8.537864620973968,0.8135611610833688,1.98,250.0,236.0
Class2,P1,concave,4.950362318840579,0.010757781244982804,4.950380061540405,1.260877664701371,1.404,250.0,230.0
Class2,P2,concave,7.893483709273183,0.01986651503026802,7.893526383210025,1.1902848060050253,1.948,250.0,247.0
Class2,P3,concave,13.535060586734692,0.09406861605063432,13.535470852995259,4.82606015964379,1.912,250.0,224.0
Class3,P1,concave,1.2337662337662338,0.0031253288087579626,1.2337732887239725,1.0779290878437406,0.332,250.0,77.0
Class3,P2,concave,3.70679012345679,0.013531925473805448,3.7068257476538276,0.2757239453959836,1.408,250.0,243.0
Class3,P3,concave,14.654430379746834,0.08716786667732235,14.65478456189557,6.839914563654879,1.816,250.0,237.0
Class4,P1,concave,,,,,2.72,50.0,50.0
Class4,P2,concave,0.9437984496124031,0.0015385632601065966,0.9438000262986019,0.0,1.22,50.0,43.0
Class4,P3,concave,,,,,2.72,50.0,50.0
