Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,70.0,0.5533546699970467,70.00292104496228,5.000275203429418,9,39,"[np.int64(3), np.int64(34), np.int64(77), np.int64(107), np.int64(114), np.int64(125), np.int64(126), np.int64(144), np.int64(169)]",250,250,wavelet
Class1,P1,Class1_it2_example_0002,47.4,0.2744547522135246,47.40085384226714,6.0002787879994886,5,40,"[np.int64(33), np.int64(34), np.int64(73), np.int64(110), np.int64(161)]",250,250,wavelet
Class1,P1,Class1_it2_example_0003,45.333333333333336,0.2522059112077483,45.334105696574,7.000350769479618,6,40,"[np.int64(32), np.int64(33), np.int64(74), np.int64(75), np.int64(108), np.int64(160)]",250,250,wavelet
Class1,P1,Class1_it2_example_0004,49.285714285714285,0.2754000516428695,49.28655277231821,8.000395112302423,7,42,"[np.int64(33), np.int64(34), np.int64(75), np.int64(76), np.int64(110), np.int64(111), np.int64(166)]",250,250,wavelet
Class1,P1,Class1_it2_example_0005,57.166666666666664,0.3795514065111382,57.167969770086536,7.000350780089919,6,39,"[np.int64(31), np.int64(32), np.int64(70), np.int64(109), np.int64(140), np.int64(165)]",250,250,wavelet
Class1,P1,Class1_it2_example_0006,62.0,0.47437608905190987,62.002780349647516,7.000325221979123,7,41,"[np.int64(3), np.int64(34), np.int64(72), np.int64(102), np.int64(106), np.int64(144), np.int64(170)]",250,250,wavelet
Class1,P1,Class1_it2_example_0007,62.0,0.5205213781713397,62.00302583835856,8.00046772143671,7,42,"[np.int64(3), np.int64(34), np.int64(72), np.int64(73), np.int64(108), np.int64(170), np.int64(174)]",250,250,wavelet
Class1,P1,Class1_it2_example_0008,56.2,0.45359206756200604,56.20334174923262,6.000502344070561,5,38,"[np.int64(3), np.int64(32), np.int64(75), np.int64(105), np.int64(174)]",250,250,wavelet
Class1,P1,Class1_it2_example_0009,57.57142857142857,0.44635707422697457,57.57424782808328,6.000264063342945,7,38,"[np.int64(3), np.int64(31), np.int64(32), np.int64(76), np.int64(107), np.int64(150), np.int64(174)]",250,250,wavelet
Class1,P1,Class1_it2_example_0010,55.4,0.46484312994211036,55.4032911716454,7.000456159371177,5,41,"[np.int64(3), np.int64(34), np.int64(77), np.int64(110), np.int64(168)]",250,250,wavelet
Class1,P1,Class1_it2_example_0011,72.8,0.4521103225364427,72.80150251567461,6.000443406889849,5,35,"[np.int64(29), np.int64(70), np.int64(99), np.int64(154), np.int64(175)]",250,250,wavelet
Class1,P1,Class1_it2_example_0012,47.4,0.26851311131291733,47.400816128087534,7.0003064396653345,5,36,"[np.int64(28), np.int64(29), np.int64(68), np.int64(107), np.int64(155)]",250,250,wavelet
Class1,P1,Class1_it2_example_0013,69.57142857142857,0.4655852603652909,69.57300831090019,7.000424394937239,7,36,"[np.int64(29), np.int64(57), np.int64(85), np.int64(105), np.int64(130), np.int64(159), np.int64(160)]",250,250,wavelet
Class1,P1,Class1_it2_example_0014,59.63636363636363,0.3736961480128681,59.6381297669985,8.000433040615015,11,41,"[np.int64(4), np.int64(32), np.int64(33), np.int64(62), np.int64(91), np.int64(94), np.int64(111), np.int64(126), np.int64(143), np.int64(147), np.int64(156)]",250,250,wavelet
Class1,P1,Class1_it2_example_0015,79.63636363636364,0.42383337836565516,79.63752784113649,2.000058470809111,11,23,"[np.int64(20), np.int64(21), np.int64(39), np.int64(72), np.int64(81), np.int64(128), np.int64(131), np.int64(134), np.int64(153), np.int64(169), np.int64(171)]",250,250,wavelet
Class1,P1,Class1_it2_example_0016,69.83333333333333,0.3925627027445266,69.8345751062846,6.000394731137935,6,29,"[np.int64(23), np.int64(49), np.int64(79), np.int64(105), np.int64(151), np.int64(174)]",250,250,wavelet
Class1,P1,Class1_it2_example_0017,78.375,0.5637180706087871,78.37710508877285,2.000126437910519,8,27,"[np.int64(25), np.int64(56), np.int64(86), np.int64(89), np.int64(116), np.int64(135), np.int64(156), np.int64(176)]",250,250,wavelet
Class1,P1,Class1_it2_example_0018,59.0,0.5031057525414717,59.00364173517206,2.0000707598552974,8,28,"[np.int64(3), np.int64(25), np.int64(26), np.int64(55), np.int64(89), np.int64(111), np.int64(152), np.int64(175)]",250,250,wavelet
Class1,P1,Class1_it2_example_0019,86.125,0.5023055397477884,86.1265819671366,3.0003089556215925,8,28,"[np.int64(25), np.int64(53), np.int64(85), np.int64(119), np.int64(122), np.int64(162), np.int64(165), np.int64(176)]",250,250,wavelet
Class1,P1,Class1_it2_example_0020,67.14285714285714,0.5237663636616973,67.14583852939329,5.000159444508058,7,37,"[np.int64(3), np.int64(32), np.int64(70), np.int64(106), np.int64(122), np.int64(145), np.int64(173)]",250,250,wavelet
Class1,P1,Class1_it2_example_0021,71.75,0.5902173293682936,71.7529987258783,4.000375726773309,12,37,"[np.int64(4), np.int64(33), np.int64(61), np.int64(62), np.int64(89), np.int64(91), np.int64(112), np.int64(126), np.int64(144), np.int64(161), np.int64(172), np.int64(176)]",250,250,wavelet
Class1,P1,Class1_it2_example_0022,65.2,0.3543418165593418,65.20104695771396,3.0000795096097064,5,41,"[np.int64(38), np.int64(85), np.int64(127), np.int64(130), np.int64(145)]",250,250,wavelet
Class1,P1,Class1_it2_example_0023,65.0,0.4517602264912099,65.00233939190156,11.000491453874478,8,45,"[np.int64(3), np.int64(30), np.int64(34), np.int64(84), np.int64(123), np.int64(126), np.int64(170), np.int64(174)]",250,250,wavelet
Class1,P1,Class1_it2_example_0024,47.0,0.49505604922149543,47.00377090639617,6.000327240992012,4,46,"[np.int64(5), np.int64(40), np.int64(91), np.int64(142)]",250,250,wavelet
Class1,P1,Class1_it2_example_0025,56.0,0.5873373466518815,56.00433961381103,5.000219427878866,6,43,"[np.int64(4), np.int64(38), np.int64(91), np.int64(92), np.int64(140), np.int64(141)]",250,250,wavelet
Class1,P1,Class1_it2_example_0026,70.0,0.5221756576454161,70.00331933186716,5.000401241505318,6,41,"[np.int64(4), np.int64(36), np.int64(92), np.int64(136), np.int64(138), np.int64(176)]",250,250,wavelet
Class1,P1,Class1_it2_example_0027,62.8,0.5287170991470338,62.80348803478129,6.000424574265983,5,44,"[np.int64(5), np.int64(38), np.int64(94), np.int64(133), np.int64(174)]",250,250,wavelet
Class1,P1,Class1_it2_example_0028,43.75,0.4208724905361921,43.753590338965225,5.000263224040521,4,45,"[np.int64(8), np.int64(40), np.int64(91), np.int64(132)]",250,250,wavelet
Class1,P1,Class1_it2_example_0029,49.333333333333336,0.43524527815449227,49.33528901962882,4.000297631450361,6,58,"[np.int64(53), np.int64(54), np.int64(84), np.int64(115), np.int64(149), np.int64(171)]",250,250,wavelet
Class1,P1,Class1_it2_example_0030,80.28571428571429,0.5240900207376411,80.28746183563109,2.000180282113302,7,28,"[np.int64(26), np.int64(57), np.int64(86), np.int64(105), np.int64(146), np.int64(159), np.int64(175)]",250,250,wavelet
Class1,P1,Class1_it2_example_0031,77.66666666666667,0.4864708344686514,77.66889236887981,2.000099512363397,12,27,"[np.int64(4), np.int64(25), np.int64(58), np.int64(80), np.int64(89), np.int64(93), np.int64(116), np.int64(130), np.int64(133), np.int64(151), np.int64(152), np.int64(175)]",250,250,wavelet
Class1,P1,Class1_it2_example_0032,74.9,0.5550823929969085,74.90283587931263,7.000450313300208,10,34,"[np.int64(2), np.int64(27), np.int64(59), np.int64(94), np.int64(100), np.int64(121), np.int64(141), np.int64(142), np.int64(154), np.int64(171)]",250,250,wavelet
