Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Peak_Count,Reference_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave,1.324,0.007071312397684392,1.324025253301542,1.0,34.488,250.0,250.0
Class1,P1,curvature,3.54,0.049531873413957,3.540373018337424,1.008,34.488,250.0,250.0
Class1,P1,hilbert,3.2,0.043361308473495244,3.2003372128815446,1.0,34.488,250.0,250.0
Class1,P1,line_distance_10,2.532,0.028154209563388526,2.5321780491239942,1.0,34.488,250.0,250.0
Class1,P1,modified_scholkmann_1_99,1.4229166666666666,0.003551087829702557,1.422924458516269,0.676,34.488,250.0,80.0
Class1,P1,wavelet,2.602,0.029345355210180717,2.602177785676974,1.204,34.488,250.0,250.0
Class1,P2,concave,5.56140350877193,0.014796484023827957,5.561436579357023,0.456,62.624,250.0,114.0
Class1,P2,curvature,3.923694779116466,0.02020503894061562,3.923774274737077,1.0,62.624,250.0,249.0
Class1,P2,hilbert,5.6875,0.014747650790213566,5.6875323141290846,0.448,62.624,250.0,112.0
Class1,P2,line_distance_10,3.986046511627907,0.018240228292908972,3.986114301725908,0.86,62.624,250.0,215.0
Class1,P2,modified_scholkmann_1_99,8.203389830508474,0.02389143973087114,8.203448793497696,0.492,62.624,250.0,59.0
Class1,P2,wavelet,4.134297520661157,0.02139908328654514,4.134382794590627,1.068,62.624,250.0,242.0
Class1,P3,concave,1.778301886792453,0.0027539068056728995,1.778305832000332,0.848,95.988,250.0,212.0
Class1,P3,curvature,7.372,0.038169060118780206,7.372128723201804,1.172,95.988,250.0,250.0
Class1,P3,hilbert,2.6376146788990824,0.004178901534129156,2.6376206401214466,0.872,95.988,250.0,218.0
Class1,P3,line_distance_10,6.821138211382114,0.03177665766770512,6.821240876307016,0.984,95.988,250.0,246.0
Class1,P3,modified_scholkmann_1_99,1.811023622047244,0.0031478572614621362,1.8110292145785494,1.044,95.988,250.0,127.0
Class1,P3,wavelet,7.260416666666666,0.036160572856344775,7.260537911059673,1.352,95.988,250.0,248.0
Class2,P1,concave,2.236842105263158,0.012065438024028503,2.2368846705046166,0.912,33.796,250.0,228.0
Class2,P1,curvature,4.356,0.061113337456256564,4.356498310650818,1.048,33.796,250.0,250.0
Class2,P1,hilbert,3.328,0.04540384823256238,3.3283487612373013,1.0,33.796,250.0,250.0
Class2,P1,line_distance_10,3.276,0.043592535309452944,3.2763211372187446,1.0,33.796,250.0,250.0
Class2,P1,modified_scholkmann_1_99,6.088235294117647,0.026882581480397377,6.088326017601826,0.16,33.796,250.0,17.0
Class2,P1,wavelet,3.406,0.04075219213863263,3.406280435787587,1.304,33.796,250.0,250.0
Class2,P2,concave,2.31651376146789,0.006326305702617703,2.3165264510292056,0.872,61.776,250.0,218.0
Class2,P2,curvature,3.864,0.020814560469909968,3.8640809521358754,1.044,61.776,250.0,250.0
Class2,P2,hilbert,2.6940639269406392,0.007127380024758055,2.694078266610492,0.876,61.776,250.0,219.0
Class2,P2,line_distance_10,3.9297520661157024,0.019690148062277504,3.9298281292871513,0.968,61.776,250.0,242.0
Class2,P2,modified_scholkmann_1_99,2.319620253164557,0.006775496933326392,2.3196344609962,1.284,61.776,250.0,158.0
Class2,P2,wavelet,4.185897435897436,0.02145723342016289,4.185979683945026,1.148,61.776,250.0,247.0
Class2,P3,concave,1.4969325153374233,0.0018058722625475172,1.496933979908448,0.652,91.912,250.0,163.0
Class2,P3,curvature,8.57,0.0580937268955782,8.570232700751628,1.112,91.912,250.0,250.0
Class2,P3,hilbert,2.6779661016949152,0.004851836069911137,2.67797308950424,0.708,91.912,250.0,177.0
Class2,P3,line_distance_10,8.520325203252032,0.05117939593026909,8.520513003989869,0.984,91.912,250.0,246.0
Class2,P3,modified_scholkmann_1_99,1.5060240963855422,0.0017219662893685553,1.5060256376804573,0.684,91.912,250.0,83.0
Class2,P3,wavelet,8.723790322580646,0.05515033832898462,8.724000195387436,1.332,91.912,250.0,248.0
Class3,P1,concave,7.345454545454546,0.0818859214741612,7.346000289108124,0.22088353413654618,28.546184738955823,250.0,55.0
Class3,P1,curvature,3.3044354838709675,0.0558122467858609,3.3049468121282057,1.0522088353413654,28.546184738955823,250.0,248.0
Class3,P1,hilbert,4.063492063492063,0.0558468637369204,4.063899373075022,0.5060240963855421,28.546184738955823,250.0,126.0
Class3,P1,line_distance_10,2.8346774193548385,0.048045183778122655,2.8351143455549574,0.9959839357429718,28.546184738955823,250.0,248.0
Class3,P1,modified_scholkmann_1_99,24.25,0.3601627176514358,24.25269457880633,0.0642570281124498,28.546184738955823,250.0,8.0
Class3,P1,wavelet,2.4734543010752685,0.038944075774754804,2.4737920820713555,1.3132530120481927,28.546184738955823,250.0,248.0
Class3,P2,concave,1.9260869565217391,0.0034319547655398395,1.9260935308894644,0.9236947791164659,60.397590361445786,250.0,230.0
Class3,P2,curvature,4.06989247311828,0.01862591650589836,4.06996737700174,1.0401606425702812,60.397590361445786,250.0,248.0
Class3,P2,hilbert,2.9746835443037973,0.006069396129772777,2.974700510617835,0.9518072289156626,60.397590361445786,250.0,237.0
Class3,P2,line_distance_10,4.383064516129032,0.017153993403232412,4.38313205580675,0.9959839357429718,60.397590361445786,250.0,248.0
Class3,P2,modified_scholkmann_1_99,2.3093869731800765,0.004120643347471695,2.3093950635906175,1.4257028112449799,60.397590361445786,250.0,174.0
Class3,P2,wavelet,3.640456989247312,0.015497388916958978,3.6405213072370555,1.1566265060240963,60.397590361445786,250.0,248.0
Class3,P3,concave,1.7837837837837838,0.0033491684288600105,1.7837896946401757,0.4457831325301205,85.35742971887551,250.0,111.0
Class3,P3,curvature,7.961693548387097,0.055082318082984846,7.961919210784106,1.0562248995983936,85.35742971887551,250.0,248.0
