Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,line_distance_3,3.051792828685259,0.030723024714318908,3.051960045297326,3.051960045297326,0.8366666666666667,300.0,251.0
Class1,P2,line_distance_3,16.67238255571589,0.07077716748855759,16.672603003764767,1.6094775526460734,2.716666666666667,300.0,297.0
Class1,P3,line_distance_3,21.74805687830688,0.14411676100100682,21.74863269609664,2.10335642014446,4.213333333333333,300.0,300.0
Class2,P1,line_distance_3,9.435551558752998,0.05363465188135475,9.435848928666024,6.072312426442927,1.32,300.0,278.0
Class2,P2,line_distance_3,7.454416666666666,0.025027729636181294,7.454477320170386,2.0700199854544477,1.72,300.0,300.0
Class2,P3,line_distance_3,20.01898126028561,0.17191814140498843,20.019798051116158,2.0334615306371315,3.81,300.0,299.0
Class3,P1,line_distance_3,3.9276094276094278,0.056502768446590856,3.9280545572811754,3.5997317995683633,1.0633333333333332,300.0,297.0
Class3,P2,line_distance_3,7.618333333333333,0.030225227083226926,7.618430099450416,2.59670987814903,1.7566666666666666,300.0,300.0
Class3,P3,line_distance_3,13.293155757286192,0.07543153653016144,13.293447336352138,2.0334661439610855,2.7333333333333334,300.0,299.0
Class4,P1,line_distance_3,,,,,0.0,100.0,0.0
Class4,P2,line_distance_3,4.154761904761904,0.015363068479010972,4.154795037164649,3.7000322531992342,0.79,100.0,70.0
Class4,P3,line_distance_3,,,,,0.0,100.0,0.0
