Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,curvature,3.7608951707891634,0.049428968954179316,3.761269350236088,3.0073845189465085,1.4066666666666667,300.0,283.0
Class1,P2,curvature,21.737677128427126,0.09967868909405832,21.738017687847076,1.7634027211637378,5.666666666666667,300.0,300.0
Class1,P3,curvature,20.396323112073112,0.12690262429099494,20.3968055512646,1.2000021830243222,7.8,300.0,300.0
Class2,P1,curvature,11.351280169602086,0.05958470675793114,11.35166515715949,4.1066506483918275,2.546666666666667,300.0,292.0
Class2,P2,curvature,14.104101250601248,0.06135798306395261,14.104294414669681,1.7200317919406438,4.296666666666667,300.0,300.0
Class2,P3,curvature,20.591454776704776,0.17257108372638905,20.592265490255542,1.1566735658396519,6.656666666666666,300.0,300.0
Class3,P1,curvature,5.039000000000001,0.0771676122631039,5.039682077298574,3.213723113386696,1.67,300.0,300.0
Class3,P2,curvature,9.842195767195767,0.04631026225291995,9.842376010671083,1.1200084226705387,3.9233333333333333,300.0,300.0
Class3,P3,curvature,14.782483886483888,0.08521463017011224,14.782826796153726,0.9366712793192316,5.52,300.0,300.0
Class4,P1,curvature,,,,,0.0,100.0,0.0
Class4,P2,curvature,4.930735930735931,0.020786961228321733,4.930791725004533,1.5555614683132728,3.03,100.0,99.0
Class4,P3,curvature,,,,,0.0,100.0,0.0
