Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,line_perpendicular_3,1.2033333333333334,0.015563118120969477,1.2034437524581525,1.2034437524581525,1.0,300.0,300.0
Class1,P2,line_perpendicular_3,12.961672473867596,0.045579295474074785,12.961793469095117,12.961793469095117,0.9566666666666667,300.0,287.0
Class1,P3,line_perpendicular_3,23.78490566037736,0.14545626548443827,23.78541457298666,23.78541457298666,0.8833333333333333,300.0,265.0
Class2,P1,line_perpendicular_3,2.298611111111111,0.03603302457380961,2.2989054175184314,2.2989054175184314,0.96,300.0,288.0
Class2,P2,line_perpendicular_3,17.742574257425744,0.11511580110520224,17.743071919582526,17.743071919582526,0.6733333333333333,300.0,202.0
Class2,P3,line_perpendicular_3,32.925,0.2458655016059994,32.92598347472426,32.92598347472426,0.5333333333333333,300.0,160.0
Class3,P1,line_perpendicular_3,4.361204013377926,0.07738771002969519,4.361903349847176,4.361903349847176,0.9966666666666667,300.0,299.0
Class3,P2,line_perpendicular_3,11.577946768060837,0.05975052228739426,11.57814897461945,11.57814897461945,0.8766666666666667,300.0,263.0
Class3,P3,line_perpendicular_3,26.291479820627803,0.22673833778299995,26.292509562162717,26.292509562162717,0.7433333333333333,300.0,223.0
Class4,P1,line_perpendicular_3,,,,,0.73,100.0,73.0
Class4,P2,line_perpendicular_3,68.975,0.5934456155724084,68.97761207513268,68.97761207513268,0.4,100.0,40.0
Class4,P3,line_perpendicular_3,,,,,0.14,100.0,14.0
