Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann0-5,3.763440860215054,0.0217448336747498,3.7635136591740888,3.7635136591740888,0.93,300.0,279.0
Class1,P2,modified_scholkmann0-5,29.37837837837838,0.09183691127425893,29.378579456775938,29.378579456775938,0.37,300.0,111.0
Class1,P3,modified_scholkmann0-5,6.805369127516778,0.024079103285515005,6.8054346011726965,6.8054346011726965,0.49666666666666665,300.0,149.0
Class2,P1,modified_scholkmann0-5,12.966101694915254,0.05777251174275404,12.966252697885588,12.966252697885588,0.19666666666666666,300.0,59.0
Class2,P2,modified_scholkmann0-5,12.961538461538462,0.03947973395411374,12.961627056446837,12.961627056446837,0.3466666666666667,300.0,104.0
Class2,P3,modified_scholkmann0-5,4.111111111111111,0.015372430234167981,4.111156261895702,4.111156261895702,0.09,300.0,27.0
Class3,P1,modified_scholkmann0-5,32.833333333333336,0.44019036050084154,32.836362079520505,32.836362079520505,0.12,300.0,36.0
Class3,P2,modified_scholkmann0-5,7.9314285714285715,0.01793648542875479,7.931463544048985,7.931463544048985,0.5833333333333334,300.0,175.0
Class3,P3,modified_scholkmann0-5,1.1956521739130435,0.0012028540118846618,1.1956531368657302,1.1956531368657302,0.15333333333333332,300.0,46.0
Class4,P1,modified_scholkmann0-5,,,,,0.72,100.0,72.0
Class4,P2,modified_scholkmann0-5,,,,,0.0,100.0,0.0
Class4,P3,modified_scholkmann0-5,,,,,0.0,100.0,0.0
