Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,curvature,63.920523809523814,0.42057759683725926,63.92218217422839,2.480287080424975,4.933333333333334,300.0,300.0
Class1,P2,curvature,49.17896825396826,0.26650617806149673,49.1798083886346,2.976782344421478,4.933333333333334,300.0,300.0
Class1,P3,curvature,44.717333333333336,0.2466627508660669,44.71814084541336,2.0800065719956207,4.933333333333334,300.0,300.0
Class2,P1,curvature,63.60783333333333,0.32265767079552826,63.60893419718634,3.707259588007713,5.033333333333333,300.0,300.0
Class2,P2,curvature,48.65224603174603,0.3337850913584014,48.65355112464624,1.98670288060954,5.033333333333333,300.0,300.0
Class2,P3,curvature,43.63762698412698,0.2740079292423312,43.638746049189585,3.056688118713859,5.033333333333333,300.0,300.0
Class3,P1,curvature,66.24666666666667,0.2680751889349184,66.24766505172087,2.3603708447587417,5.223333333333334,300.0,300.0
Class3,P2,curvature,48.357031746031744,0.37100812381390547,48.35865678901877,2.5000445228703523,5.223333333333334,300.0,300.0
Class3,P3,curvature,43.679587301587304,0.33561673228838623,43.681039531437435,3.170031974839965,5.223333333333334,300.0,300.0
Class4,P1,curvature,,,,,4.58,100.0,100.0
Class4,P2,curvature,44.61169047619048,0.4136811093744962,44.61379454771704,3.0700621813328923,4.58,100.0,100.0
Class4,P3,curvature,,,,,4.58,100.0,100.0
