Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,curvature,2.6534296028880866,0.037726343500220874,2.6537213174995813,2.581519872627774,0.9266666666666666,300.0,277.0
Class1,P2,curvature,17.491666666666667,0.07287820722499419,17.491893765997947,3.0900833236529577,1.9433333333333334,300.0,300.0
Class1,P3,curvature,19.978055555555557,0.11137152975752308,19.978448355046616,2.0800065719956207,2.27,300.0,300.0
Class2,P1,curvature,9.005119453924914,0.06262271947964419,9.005582241340864,3.8196985173431983,1.4366666666666668,300.0,293.0
Class2,P2,curvature,10.692777777777778,0.04017547336505567,10.692882015729907,1.98670288060954,1.6066666666666667,300.0,300.0
Class2,P3,curvature,19.233333333333334,0.1521402172231442,19.23402457586956,3.056688118713859,2.1766666666666667,300.0,300.0
Class3,P1,curvature,2.591666666666667,0.045419815999059025,2.5920864019020127,2.3603708447587417,1.0233333333333334,300.0,300.0
Class3,P2,curvature,7.743333333333333,0.024602414788620523,7.743398434592811,2.5500465064081994,1.5133333333333334,300.0,300.0
Class3,P3,curvature,14.152777777777777,0.06640925646894548,14.152999497178604,3.2667001814629124,2.0233333333333334,300.0,300.0
Class4,P1,curvature,,,,,0.0,100.0,0.0
Class4,P2,curvature,2.685567010309278,0.008119766287180016,2.685584137812764,2.5979564936367816,0.98,100.0,97.0
Class4,P3,curvature,,,,,0.0,100.0,0.0
