Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,curvature,2.6538461538461537,0.0273534260090501,2.653997815714033,2.653997815714033,0.08666666666666667,300.0,26.0
Class1,P2,curvature,5.810035842293907,0.025390102732500364,5.810128410883746,2.8387870018111236,1.1233333333333333,300.0,279.0
Class1,P3,curvature,15.366666666666667,0.08006833110047938,15.366939914089432,2.7700273326525937,1.8566666666666667,300.0,300.0
Class2,P1,curvature,5.71875,0.0658480358447193,5.719291015789049,5.333884612945413,0.8333333333333334,300.0,240.0
Class2,P2,curvature,4.415770609318996,0.016438535269292873,4.415815101818456,3.1900079134812853,1.02,300.0,279.0
Class2,P3,curvature,13.441471571906355,0.10129784137580522,13.441936794873167,4.5285398122122595,1.6266666666666667,300.0,299.0
Class3,P1,curvature,2.4324324324324325,0.04252688730907817,2.432825611663974,2.432825611663974,0.9866666666666667,300.0,296.0
Class3,P2,curvature,5.747881355932203,0.016220770354195148,5.747920342637488,5.449192372524169,0.81,300.0,236.0
Class3,P3,curvature,12.070469798657719,0.05191746309453692,12.070630053169797,3.7282464197827183,1.74,300.0,298.0
Class4,P1,curvature,,,,,0.0,100.0,0.0
Class4,P2,curvature,1.186046511627907,0.0017543214464792818,1.186048354419733,1.186048354419733,0.43,100.0,43.0
Class4,P3,curvature,,,,,0.0,100.0,0.0
