Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,28.666666666666668,0.44661927266332374,28.672581051562535,0.0,1.0,2.0,0.0,3,31,"[3, 31, 89]",1.0,concave
Class1,P1,Class1_example_0002,31.0,0.4984577415745585,31.00629287482762,0.0,1.0,2.0,0.0,3,31,"[3, 31, 96]",1.0,concave
Class1,P1,Class1_example_0003,52.75,0.6068313335959378,52.75556215182053,0.0,1.0,3.0,0.0,4,33,"[4, 33, 92, 156]",1.0,concave
Class1,P1,Class1_example_0004,32.666666666666664,0.5097303014035403,32.67210493841863,0.0,1.0,2.0,0.0,3,38,"[4, 38, 102]",1.0,concave
Class1,P1,Class1_example_0005,51.57142857142857,0.5615872904120364,51.57661106455306,0.0,1.0,6.0,0.0,7,38,"[4, 10, 38, 69, 100, 134, 148]",1.0,concave
Class1,P1,Class1_example_0006,53.5,0.5161508904869189,53.50622918433314,0.0,1.0,3.0,0.0,4,25,"[4, 25, 77, 166]",1.0,concave
Class1,P1,Class1_example_0007,54.0,0.4885898404668693,54.00495756153143,0.0,1.0,3.0,0.0,4,31,"[4, 31, 96, 155]",1.0,concave
Class1,P1,Class1_example_0008,74.0,0.6326250592217928,74.0047178149127,1.0000000211316487,1.0,4.0,0.0,5,31,"[3, 32, 93, 169, 172]",1.0,concave
Class1,P1,Class1_example_0009,42.0,0.4567097858256246,42.00414664450693,0.0,1.0,3.0,0.0,4,37,"[4, 37, 80, 129]",1.0,concave
Class1,P1,Class1_example_0010,27.333333333333332,0.4798159090412448,27.339851936239032,1.000000286986841,1.0,2.0,0.0,3,29,"[4, 28, 85]",1.0,concave
Class1,P1,Class1_example_0011,55.5,0.5664587733665009,55.50572743189102,1.0000001278868464,1.0,3.0,0.0,4,28,"[4, 29, 95, 158]",1.0,concave
Class1,P1,Class1_example_0012,76.0,0.6112690828561791,76.00473080206261,0.0,1.0,4.0,0.0,5,29,"[4, 29, 104, 163, 175]",1.0,concave
Class1,P1,Class1_example_0013,31.666666666666668,0.43768614812735046,31.671397118353354,0.0,1.0,2.0,0.0,3,38,"[4, 38, 99]",1.0,concave
Class1,P1,Class1_example_0014,53.0,0.5616992777972282,53.004737012066094,0.0,1.0,3.0,0.0,4,35,"[4, 35, 93, 158]",1.0,concave
Class1,P1,Class1_example_0015,28.5,0.3783535443698445,28.504691867416675,0.0,1.0,3.0,0.0,4,32,"[4, 32, 59, 91]",1.0,concave
Class1,P1,Class1_example_0016,29.5,0.3347909979374323,29.504140032509014,0.0,1.0,3.0,0.0,4,33,"[4, 33, 67, 88]",1.0,concave
Class1,P1,Class1_example_0017,72.66666666666667,0.6722000752209474,72.67137794319196,0.0,1.0,11.0,0.0,12,32,"[4, 7, 32, 58, 92, 99, 116, 122, 134, 142, 169, 175]",1.0,concave
Class1,P1,Class1_example_0018,59.0,0.5604713035707676,59.00521518185175,0.0,1.0,3.0,0.0,4,30,"[4, 30, 95, 175]",1.0,concave
Class1,P1,Class1_example_0019,26.666666666666668,0.3725224067642907,26.673953448661706,1.000000857630969,1.0,2.0,0.0,3,25,"[4, 26, 83]",1.0,concave
Class1,P1,Class1_example_0020,68.66666666666667,0.38059867930074587,68.66773277947266,0.0,1.0,2.0,0.0,3,21,"[21, 73, 175]",1.0,concave
Class1,P1,Class1_example_0021,55.666666666666664,0.34749530640478393,55.667753148549245,0.0,1.0,2.0,0.0,3,21,"[21, 77, 132]",1.0,concave
Class1,P1,Class1_example_0022,43.0,0.2524868986589592,43.000787537441695,0.0,1.0,3.0,0.0,4,22,"[22, 39, 78, 121]",1.0,concave
Class1,P1,Class1_example_0023,31.0,0.42927959947028643,31.00421805398837,0.0,1.0,3.0,0.0,4,37,"[4, 37, 55, 110]",1.0,concave
Class1,P1,Class1_example_0024,44.0,0.59006358217222,44.005068741244294,0.0,1.0,2.0,0.0,3,44,"[4, 44, 136]",1.0,concave
Class1,P1,Class1_example_0025,51.75,0.6344586242403218,51.75510322204367,0.0,1.0,3.0,0.0,4,38,"[4, 38, 117, 132]",1.0,concave
Class1,P1,Class1_example_0026,55.25,0.6645498866829385,55.25529171865979,0.0,1.0,3.0,0.0,4,39,"[4, 39, 109, 155]",1.0,concave
Class1,P1,Class1_example_0027,29.666666666666668,0.4587917308361898,29.67288064012159,1.0000027575524724,1.0,2.0,0.0,3,31,"[4, 32, 92]",1.0,concave
Class1,P1,Class1_example_0028,37.0,0.2887865638234253,37.00112697850492,0.0,1.0,1.0,0.0,2,31,"[31, 105]",1.0,concave
Class1,P1,Class1_example_0029,39.5,0.3826817521195507,39.50315889759574,0.0,1.0,3.0,0.0,4,39,"[4, 39, 83, 118]",1.0,concave
Class1,P1,Class1_example_0030,29.0,0.08872490114861453,29.000168497124893,0.0,1.0,2.0,0.0,3,25,"[25, 51, 86]",1.0,concave
