Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,54.75,0.3170680139984217,54.75093030948165,0.0,1.0,3.0,0.0,4,31,"[31, 56, 96, 160]",1.0,line_distance_3
Class1,P1,Class1_example_0002,58.75,0.40101594947388675,58.751430002605574,0.0,1.0,3.0,0.0,4,31,"[31, 60, 104, 164]",1.0,line_distance_3
Class1,P1,Class1_example_0003,54.25,0.41735736279063407,54.25164367122372,1.000100423169335,1.0,3.0,0.0,4,33,"[32, 59, 97, 159]",1.0,line_distance_3
Class1,P1,Class1_example_0004,57.25,0.47342442465406587,57.252138150338624,2.000081740953163,1.0,3.0,0.0,4,38,"[36, 71, 108, 162]",1.0,line_distance_3
Class1,P1,Class1_example_0005,52.0,0.3549136885317965,52.00132967068255,3.000108097070102,1.0,3.0,0.0,4,38,"[35, 73, 104, 142]",1.0,line_distance_3
Class1,P1,Class1_example_0006,76.25,0.42405575181228866,76.25120717250365,1.0001335555113973,1.0,3.0,0.0,4,25,"[26, 80, 133, 166]",1.0,line_distance_3
Class1,P1,Class1_example_0007,65.4,0.34295712945309476,65.40099707918837,1.0001245322421595,1.0,4.0,0.0,5,31,"[30, 58, 97, 131, 164]",1.0,line_distance_3
Class1,P1,Class1_example_0008,68.0,0.43910257357645,68.0014179684597,3.0000673258558135,1.0,2.0,0.0,3,31,"[34, 95, 168]",1.0,line_distance_3
Class1,P1,Class1_example_0009,45.333333333333336,0.2850218347740329,45.334313182834336,1.000084966147327,1.0,2.0,0.0,3,37,"[36, 82, 127]",1.0,line_distance_3
Class1,P1,Class1_example_0010,58.0,0.3957890891512307,58.00140003872721,0.0,1.0,3.0,0.0,4,29,"[29, 60, 93, 166]",1.0,line_distance_3
Class1,P1,Class1_example_0011,60.5,0.3672964917706453,60.50114724916967,1.0001929956280196,1.0,3.0,0.0,4,28,"[29, 62, 101, 162]",1.0,line_distance_3
Class1,P1,Class1_example_0012,63.25,0.3796023898389256,63.251249992866654,0.0,1.0,3.0,0.0,4,29,"[29, 66, 106, 168]",1.0,line_distance_3
Class1,P1,Class1_example_0013,65.33333333333333,0.4094523988040608,65.33462601518754,3.000125339773191,1.0,2.0,0.0,3,38,"[35, 108, 161]",1.0,line_distance_3
Class1,P1,Class1_example_0014,63.666666666666664,0.43504351663968927,63.668182267603044,1.0000483080059304,1.0,2.0,0.0,3,35,"[34, 100, 160]",1.0,line_distance_3
Class1,P1,Class1_example_0015,73.0,0.40332172934832045,73.00113628961226,1.000076491160736,1.0,3.0,0.0,4,32,"[31, 95, 132, 160]",1.0,line_distance_3
Class1,P1,Class1_example_0016,59.666666666666664,0.285867707629574,59.6674343965264,2.00013262745148,1.0,2.0,0.0,3,33,"[31, 90, 153]",1.0,line_distance_3
Class1,P1,Class1_example_0017,51.0,0.3658515800431835,51.00133524619477,0.0,1.0,3.0,0.0,4,32,"[32, 63, 97, 140]",1.0,line_distance_3
Class1,P1,Class1_example_0018,34.333333333333336,0.19301368501330562,34.333915842340495,0.0,1.0,2.0,0.0,3,30,"[30, 58, 105]",1.0,line_distance_3
Class1,P1,Class1_example_0019,63.333333333333336,0.26964324817645835,63.334103876681446,2.000392383554272,1.0,2.0,0.0,3,25,"[27, 87, 151]",1.0,line_distance_3
Class1,P1,Class1_example_0020,55.666666666666664,0.23876436373374846,55.66734107999623,3.0006014873042814,1.0,2.0,0.0,3,21,"[24, 75, 131]",1.0,line_distance_3
Class1,P1,Class1_example_0021,58.666666666666664,0.2823722847613805,58.66744358854316,4.000504313925352,0.0,3.0,1.0,3,21,"[25, 78, 136]",1.0,line_distance_3
Class1,P1,Class1_example_0022,57.666666666666664,0.2281440013522612,57.66724562477933,3.0004446484030662,1.0,2.0,0.0,3,22,"[25, 79, 135]",1.0,line_distance_3
