Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,line_distance_3,59.46633333333334,0.34206792453375245,59.46747837314889,1.2034437524581525,0.9733333333333334,2.9233333333333333,0.02666666666666667,3.8966666666666665,1.0
Class1,P2,line_distance_3,46.63488888888889,0.24371659251463929,46.635663169713524,9.127098659893626,0.57,3.3266666666666667,0.43,3.8966666666666665,1.0
Class1,P3,line_distance_3,42.81566666666667,0.22785785210479242,42.81639988597474,4.330013413627013,0.4766666666666667,3.42,0.5233333333333333,3.8966666666666665,1.0
Class2,P1,line_distance_3,60.94694444444444,0.28462543403643753,60.947785235578024,4.6770174403811025,0.7633333333333333,3.1666666666666665,0.23666666666666666,3.93,1.0
Class2,P2,line_distance_3,47.250611111111105,0.3013221803572434,47.251736202924725,8.340128019567985,0.6,3.33,0.4,3.93,1.0
Class2,P3,line_distance_3,42.02905555555556,0.25022999274058766,42.030024384489245,6.910071505442733,0.17,3.76,0.83,3.93,1.0
Class3,P1,line_distance_3,60.211999999999996,0.25347031594809283,60.2130872345229,4.4373856859031555,0.8033333333333333,3.0933333333333333,0.19666666666666666,3.8966666666666665,1.0
Class3,P2,line_distance_3,44.01988888888889,0.33437695412649543,44.02137747876737,5.263412301033732,0.5666666666666667,3.33,0.43333333333333335,3.8966666666666665,1.0
Class3,P3,line_distance_3,41.67677777777778,0.3073530198434264,41.67808804837153,7.7034179574755655,0.10333333333333333,3.7933333333333334,0.8966666666666666,3.8966666666666665,1.0
Class4,P1,line_distance_3,,,,,,,,2.33,1.0
Class4,P2,line_distance_3,39.268499999999996,0.3250403212238425,39.26991358645457,6.39011063372022,0.29,2.04,0.71,2.33,1.0
Class4,P3,line_distance_3,,,,,,,,2.33,1.0
