Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,hilbert,2.716666666666667,0.04244063939771378,2.7170269200246584,2.7170269200246584,0.8233333333333334,0.17666666666666667,0.17666666666666667,1.0,1.0
Class1,P2,hilbert,4.890410958904109,0.015926893226332398,4.890446490945834,4.890446490945834,0.773972602739726,0.22602739726027396,0.6233333333333333,0.4866666666666667,0.4866666666666667
Class1,P3,hilbert,2.5573122529644268,0.0037070185344348938,2.5573163029356576,2.5573163029356576,0.7707509881422925,0.22924901185770752,0.35,0.8433333333333334,0.8433333333333334
Class2,P1,hilbert,3.1,0.04948767870675565,3.1004240283688382,3.1004240283688382,0.66,0.34,0.34,1.0,1.0
Class2,P2,hilbert,2.46875,0.006788338937308785,2.4687651415885354,2.4687651415885354,0.875,0.125,0.44,0.64,0.64
Class2,P3,hilbert,2.4776119402985075,0.004181874147303009,2.4776170742649097,2.4776170742649097,0.8059701492537313,0.19402985074626866,0.64,0.44666666666666666,0.44666666666666666
Class3,P1,hilbert,1.7976190476190477,0.025780775967729277,1.7978151060450425,1.7978151060450425,0.9404761904761905,0.05952380952380952,0.47333333333333333,0.56,0.56
Class3,P2,hilbert,2.4178571428571427,0.006236467842431506,2.4178700990689697,2.392870010079785,0.8535714285714285,0.15,0.20333333333333334,0.9366666666666666,0.9333333333333333
Class3,P3,hilbert,1.6613756613756614,0.0021476140805248792,1.661377701601719,1.661377701601719,0.9365079365079365,0.06349206349206349,0.41,0.63,0.63
Class4,P1,hilbert,,,,,,,1.0,0.47,0.47
Class4,P2,hilbert,,,,,,,1.0,0.0,0.0
Class4,P3,hilbert,,,,,,,1.0,0.02,0.01
