Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,concave_d2x=0-002,36.31444444444445,0.22323354315116314,36.31531844070158,1.5933642663116012,0.9866666666666667,1.6133333333333333,0.013333333333333334,2.6,1.0
Class1,P2,concave_d2x=0-002,31.289666666666665,0.19483586553884708,31.290499192395643,15.884227089901545,0.33666666666666667,2.263333333333333,0.6633333333333333,2.6,1.0
Class1,P3,concave_d2x=0-002,35.19644444444444,0.18881394042784583,35.19705032464374,3.036716423828971,0.9133333333333333,1.6866666666666668,0.08666666666666667,2.6,1.0
Class2,P1,concave_d2x=0-002,28.99617117117117,0.08870890126875818,28.996409321088812,5.500065263214553,0.7162162162162162,1.8682432432432432,0.29333333333333333,2.55,0.9866666666666667
Class2,P2,concave_d2x=0-002,19.778378378378378,0.08599589877902811,19.77869828101843,3.3716530092371806,0.8277027027027027,1.7567567567567568,0.18333333333333332,2.55,0.9866666666666667
Class2,P3,concave_d2x=0-002,32.67117117117117,0.15435011528346002,32.671725922751705,10.06791827818577,0.6790540540540541,1.9054054054054055,0.33,2.55,0.9866666666666667
Class3,P1,concave_d2x=0-002,36.54277777777778,0.34566016821844464,36.54482173384008,24.21204990085606,0.21333333333333335,1.6666666666666667,0.7866666666666666,1.88,1.0
Class3,P2,concave_d2x=0-002,11.922222222222222,0.05778785406120902,11.922446873796142,3.0933648905974813,0.85,1.03,0.15,1.88,1.0
Class3,P3,concave_d2x=0-002,19.219444444444445,0.09033133632453855,19.21972670544521,7.746819962952115,0.64,1.24,0.36,1.88,1.0
Class4,P1,concave_d2x=0-002,,,,,,,1.0,1.02,0.99
Class4,P2,concave_d2x=0-002,1.601010101010101,0.005278944851572914,1.6010292288498686,0.9090913729691718,0.9696969696969697,0.06060606060606061,0.04,1.02,0.99
Class4,P3,concave_d2x=0-002,,,,,,,1.0,1.02,0.99
