Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,curvature,63.920523809523814,0.42057759683725926,63.92218217422839,2.480287080424975,0.8066666666666666,4.126666666666667,0.19333333333333333,4.933333333333334,1.0
Class1,P2,curvature,49.17896825396826,0.26650617806149673,49.1798083886346,2.976782344421478,0.84,4.093333333333334,0.16,4.933333333333334,1.0
Class1,P3,curvature,44.717333333333336,0.2466627508660669,44.71814084541336,2.0800065719956207,0.8033333333333333,4.13,0.19666666666666666,4.933333333333334,1.0
Class2,P1,curvature,63.60783333333333,0.32265767079552826,63.60893419718634,3.707259588007713,0.49,4.543333333333333,0.51,5.033333333333333,1.0
Class2,P2,curvature,48.65224603174603,0.3337850913584014,48.65355112464624,1.98670288060954,0.81,4.223333333333334,0.19,5.033333333333333,1.0
Class2,P3,curvature,43.63762698412698,0.2740079292423312,43.638746049189585,3.056688118713859,0.63,4.403333333333333,0.37,5.033333333333333,1.0
Class3,P1,curvature,66.24666666666667,0.2680751889349184,66.24766505172087,2.3603708447587417,0.8366666666666667,4.386666666666667,0.16333333333333333,5.223333333333334,1.0
Class3,P2,curvature,48.357031746031744,0.37100812381390547,48.35865678901877,2.5000445228703523,0.7866666666666666,4.4366666666666665,0.21333333333333335,5.223333333333334,1.0
Class3,P3,curvature,43.679587301587304,0.33561673228838623,43.681039531437435,3.170031974839965,0.6233333333333333,4.6,0.37666666666666665,5.223333333333334,1.0
Class4,P1,curvature,,,,,,,,4.58,1.0
Class4,P2,curvature,44.61169047619048,0.4136811093744962,44.61379454771704,3.0700621813328923,0.72,3.86,0.28,4.58,1.0
Class4,P3,curvature,,,,,,,,4.58,1.0
