Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,,,,,,,1,0,31,[],0.18,curvature
Class1,P1,Class1_example_0002,,,,,,,1,0,31,[],0.18,curvature
Class1,P1,Class1_example_0003,,,,,,,1,0,33,[],0.18,curvature
Class1,P1,Class1_example_0004,2.0,0.008085813407174403,2.000016345027824,2.000016345027824,1.0,0.0,0,1,38,[36],0.18,curvature
Class1,P1,Class1_example_0005,3.0,0.023935252796530748,3.000095481201629,3.000095481201629,1.0,0.0,0,1,38,[35],0.18,curvature
Class1,P1,Class1_example_0006,,,,,,,1,0,25,[],0.18,curvature
Class1,P1,Class1_example_0007,,,,,,,1,0,31,[],0.18,curvature
Class1,P1,Class1_example_0008,3.0,0.02177335777216427,3.0000790121442926,3.0000790121442926,1.0,0.0,0,1,31,[28],0.18,curvature
Class1,P1,Class1_example_0009,2.0,0.00772615949521982,2.0000149233294597,2.0000149233294597,1.0,0.0,0,1,37,[35],0.18,curvature
Class1,P1,Class1_example_0010,,,,,,,1,0,29,[],0.18,curvature
Class1,P1,Class1_example_0011,,,,,,,1,0,28,[],0.18,curvature
Class1,P1,Class1_example_0012,,,,,,,1,0,29,[],0.18,curvature
Class1,P1,Class1_example_0013,5.0,0.033821401684756336,5.000114387412744,5.000114387412744,0.0,1.0,1,1,38,[33],0.18,curvature
Class1,P1,Class1_example_0014,2.0,0.008084615291418906,2.0000163401843523,2.0000163401843523,1.0,0.0,0,1,35,[33],0.18,curvature
Class1,P1,Class1_example_0015,2.0,0.009771500573990344,2.000023870413418,2.000023870413418,1.0,0.0,0,1,32,[30],0.18,curvature
Class1,P1,Class1_example_0016,3.0,0.016278367000246985,3.000044163880291,3.000044163880291,1.0,0.0,0,1,33,[30],0.18,curvature
Class1,P1,Class1_example_0017,,,,,,,1,0,32,[],0.18,curvature
Class1,P1,Class1_example_0018,,,,,,,1,0,30,[],0.18,curvature
Class1,P1,Class1_example_0019,,,,,,,1,0,25,[],0.18,curvature
Class1,P1,Class1_example_0020,,,,,,,1,0,21,[],0.18,curvature
Class1,P1,Class1_example_0021,,,,,,,1,0,21,[],0.18,curvature
Class1,P1,Class1_example_0022,,,,,,,1,0,22,[],0.18,curvature
Class1,P1,Class1_example_0023,,,,,,,1,0,37,[],0.18,curvature
