Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,concave_d2x=0-002,0.20134228187919462,0.00021271538910978482,0.20134249520136233,0.20134249520136233,298.0,0.0,2.0,0.9933333333333333,0.9933333333333333
Class1,P2,concave_d2x=0-002,1.3018292682926829,0.0019598630618799275,1.301831283491472,1.2195141017620568,153.0,17.0,147.0,0.5666666666666667,0.5466666666666666
Class1,P3,concave_d2x=0-002,2.455501618122977,0.004142431015921346,2.4555083637452504,2.359229984899347,181.0,33.0,119.0,0.7233333333333334,0.6866666666666666
Class2,P1,concave_d2x=0-002,0.4981949458483754,0.0006209921095433452,0.4981956245260539,0.49458551618171237,274.0,3.0,26.0,0.9266666666666666,0.9233333333333333
Class2,P2,concave_d2x=0-002,2.1939655172413794,0.00852966571621609,2.1939969959902657,2.129341787237913,212.0,25.0,88.0,0.8033333333333333,0.7733333333333333
Class2,P3,concave_d2x=0-002,1.9347587719298245,0.0037497109370129085,1.934766580480682,1.5789544586244417,138.0,35.0,162.0,0.59,0.5066666666666667
Class3,P1,concave_d2x=0-002,0.6455696202531646,0.0011497498303286577,0.6455713322235636,0.6455713322235636,158.0,0.0,142.0,0.5266666666666666,0.5266666666666666
Class3,P2,concave_d2x=0-002,0.5155555555555555,0.001790510453390758,0.5155646560462197,0.5111202126448835,224.0,1.0,76.0,0.7533333333333333,0.75
Class3,P3,concave_d2x=0-002,2.7815315315315314,0.008797176953982435,2.7815536403873105,2.7612835253825216,193.0,31.0,107.0,0.7466666666666667,0.74
Class4,P1,concave_d2x=0-002,,,,,0.0,0.0,58.0,0.42,0.42
Class4,P2,concave_d2x=0-002,2.8666666666666667,0.006187669746108328,2.866681666286503,2.5500146685744123,16.0,7.0,84.0,0.23,0.2
Class4,P3,concave_d2x=0-002,,,,,0.0,0.0,99.0,0.02,0.01
