Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,1.1177777777777778,0.005135143224169613,1.1177956143944308,0.9533447809824783,295.0,11.0,5.0,1.18,1.0
Class1,P2,wavelet,13.621702637889689,0.05006458669517301,13.621836128709527,13.467757671451338,142.0,160.0,158.0,1.0733333333333333,0.9266666666666666
Class1,P3,wavelet,23.785804816223067,0.15268449505805906,23.78634615182571,23.380762619811996,93.0,222.0,207.0,1.1066666666666667,0.8766666666666667
Class2,P1,wavelet,3.377222222222222,0.013884709420727533,3.3772673174552663,1.776707850558624,263.0,99.0,37.0,1.39,1.0
Class2,P2,wavelet,18.274410774410775,0.12264161584111528,18.274960018850958,17.727811717267652,92.0,147.0,208.0,0.84,0.66
Class2,P3,wavelet,33.88109756097561,0.26814944333170954,33.88221967900041,33.6352643489669,9.0,192.0,291.0,0.6733333333333333,0.5466666666666666
Class3,P1,wavelet,3.8310734463276837,0.044818206580894,3.831391076288389,2.2002204317319203,277.0,73.0,23.0,1.35,0.9833333333333333
Class3,P2,wavelet,11.578544061302683,0.059467619451683475,11.578747312767286,10.030844528442113,180.0,135.0,120.0,1.1166666666666667,0.87
Class3,P3,wavelet,26.33407738095238,0.24195850071410288,26.335224783198424,25.974347366571653,14.0,259.0,286.0,0.91,0.7466666666666667
Class4,P1,wavelet,,,,,0.0,0.0,26.0,1.19,0.74
Class4,P2,wavelet,70.08536585365853,0.6086144151848538,70.08806935936872,69.80757149428995,0.0,55.0,100.0,0.55,0.41
Class4,P3,wavelet,,,,,0.0,0.0,88.0,0.15,0.12
