Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,curvature,2.462962962962963,0.014175939240404127,2.4630080425207166,2.4630080425207166,44.0,10.0,256,0.18,0.18
Class1,P2,curvature,17.947098976109213,0.06421926472827798,17.94727581489947,10.675873565309997,172.0,248.0,128,1.4,0.9766666666666667
Class1,P3,curvature,16.156666666666666,0.08599067672835772,16.156958955424827,3.4800372859588893,195.0,337.0,105,1.7733333333333334,1.0
Class2,P1,curvature,7.207423580786026,0.028141696186897443,7.2075202975701655,5.345076511801042,142.0,124.0,158,0.8866666666666667,0.7633333333333333
Class2,P2,curvature,6.369415807560137,0.017515603418554588,6.369449980876952,3.9587872961894472,222.0,117.0,78,1.13,0.97
Class2,P3,curvature,16.520693512304252,0.12637854512296148,16.521243099854534,5.731644652046749,81.0,427.0,219,1.6933333333333334,0.9933333333333333
Class3,P1,curvature,1.7152542372881356,0.015029678664605715,1.7153301528573766,1.7153301528573766,284.0,11.0,16,0.9833333333333333,0.9833333333333333
Class3,P2,curvature,5.849498327759197,0.01871289873447189,5.849543238401226,3.090335231130555,234.0,145.0,66,1.2633333333333334,0.9966666666666667
Class3,P3,curvature,13.125862068965517,0.0572718581407689,13.126031778059659,5.586327871112852,80.0,420.0,220,1.6666666666666667,0.9666666666666667
Class4,P1,curvature,,,,,0.0,0.0,100,0.0,0.0
Class4,P2,curvature,2.5316455696202533,0.007407602338988508,2.5316579540010578,2.5316579540010578,61.0,18.0,39,0.79,0.79
Class4,P3,curvature,,,,,0.0,0.0,100,0.0,0.0
