Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,35.0,0.23881611093673344,35.00083795202221,7.000369709957511,0.0,2.0,1.0,2,31,"[38, 94]",1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0002,38.0,0.285519439192255,38.0010728246616,4.0001260363455335,0.0,2.0,1.0,2,31,"[35, 103]",1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0003,4.0,0.03602026420567872,4.000162179141421,4.000162179141421,0.0,1.0,1.0,1,33,[37],1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0004,35.0,0.2912641401125468,35.00121256988533,2.0000516232422054,1.0,1.0,0.0,2,38,"[40, 106]",1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0005,33.0,0.14517422934354546,33.00032096382991,1.0000017267984147,1.0,1.0,0.0,2,38,"[39, 103]",1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0006,30.0,0.17368884436083548,30.00051622847784,5.00019929891368,0.0,2.0,1.0,2,25,"[30, 80]",1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0007,36.0,0.13203864084906763,36.00026139402413,4.000125832442683,0.0,2.0,1.0,2,31,"[35, 99]",1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0008,35.5,0.23209722868663146,35.50076537293686,5.000046488321346,0.0,2.0,1.0,2,31,"[36, 97]",1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0009,47.0,0.2526497074810896,47.00069382016552,3.0001423246284147,1.0,1.0,0.0,2,37,"[40, 128]",1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0010,34.0,0.29835847339803967,34.00131619069982,5.000306595127274,0.0,2.0,1.0,2,29,"[34, 92]",1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0011,39.0,0.28279934663071554,39.00103580540943,6.000287667423768,0.0,2.0,1.0,2,28,"[34, 100]",1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0012,78.0,0.4275107166610099,78.00117156436087,78.00117156436087,0.0,1.0,1.0,1,29,[107],1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0013,34.5,0.19037824959488814,34.50053458044207,2.000001602416335,1.0,1.0,0.0,2,38,"[40, 105]",1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0014,32.5,0.27606817192428484,32.501179768484086,2.0000224644568965,1.0,1.0,0.0,2,35,"[37, 98]",1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0015,32.5,0.14668058594021016,32.50033169479896,3.0000191611848805,1.0,1.0,0.0,2,32,"[35, 94]",1.0,modified_scholkmann0-5
Class1,P1,Class1_example_0016,29.5,0.08530422376695146,29.50012455455699,2.0000195931451197,1.0,1.0,0.0,2,33,"[35, 90]",1.0,modified_scholkmann0-5
