Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,,,,,,,1,0,31,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0002,2.0,0.018574541568807,2.0000862515387907,2.0000862515387907,1.0,0.0,0,1,31,[29],0.4633333333333333,hilbert
Class1,P1,Class1_example_0003,3.0,0.02382380364984915,3.00009459411205,3.00009459411205,1.0,0.0,0,1,33,[30],0.4633333333333333,hilbert
Class1,P1,Class1_example_0004,4.0,0.03991920104612168,4.000199187867044,4.000199187867044,0.0,1.0,1,1,38,[34],0.4633333333333333,hilbert
Class1,P1,Class1_example_0005,5.0,0.04440785900337696,5.000197201905267,5.000197201905267,0.0,1.0,1,1,38,[33],0.4633333333333333,hilbert
Class1,P1,Class1_example_0006,2.0,0.011980649375917252,2.0000358836679575,2.0000358836679575,1.0,0.0,0,1,25,[23],0.4633333333333333,hilbert
Class1,P1,Class1_example_0007,,,,,,,1,0,31,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0008,4.0,0.03801553314982287,4.000180643516074,4.000180643516074,0.0,1.0,1,1,31,[27],0.4633333333333333,hilbert
Class1,P1,Class1_example_0009,3.0,0.021546638271513374,3.000077375272312,3.000077375272312,1.0,0.0,0,1,37,[34],0.4633333333333333,hilbert
Class1,P1,Class1_example_0010,2.0,0.007361767369015504,2.000013548858806,2.000013548858806,1.0,0.0,0,1,29,[27],0.4633333333333333,hilbert
Class1,P1,Class1_example_0011,1.0,0.009627442083356086,1.000046342746709,1.000046342746709,1.0,0.0,0,1,28,[27],0.4633333333333333,hilbert
Class1,P1,Class1_example_0012,,,,,,,1,0,29,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0013,5.0,0.033821401684756336,5.000114387412744,5.000114387412744,0.0,1.0,1,1,38,[33],0.4633333333333333,hilbert
Class1,P1,Class1_example_0014,3.0,0.020408881735589524,3.000069419605769,3.000069419605769,1.0,0.0,0,1,35,[32],0.4633333333333333,hilbert
Class1,P1,Class1_example_0015,3.0,0.020998114661863188,3.000073485903196,3.000073485903196,1.0,0.0,0,1,32,[29],0.4633333333333333,hilbert
Class1,P1,Class1_example_0016,4.0,0.030412941709879182,4.000115616707029,4.000115616707029,0.0,1.0,1,1,33,[29],0.4633333333333333,hilbert
Class1,P1,Class1_example_0017,,,,,,,1,0,32,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0018,,,,,,,1,0,30,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0019,,,,,,,1,0,25,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0020,,,,,,,1,0,21,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0021,,,,,,,1,0,21,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0022,,,,,,,1,0,22,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0023,,,,,,,1,0,37,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0024,3.0,0.02878444662799362,3.000138087549918,3.000138087549918,1.0,0.0,0,1,44,[41],0.4633333333333333,hilbert
Class1,P1,Class1_example_0025,3.0,0.025013550035046794,3.000104277801916,3.000104277801916,1.0,0.0,0,1,38,[35],0.4633333333333333,hilbert
Class1,P1,Class1_example_0026,,,,,,,1,0,39,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0027,2.0,0.021397197656665812,2.000114456741803,2.000114456741803,1.0,0.0,0,1,31,[29],0.4633333333333333,hilbert
Class1,P1,Class1_example_0028,2.0,0.017849797616378393,2.0000796522326167,2.0000796522326167,1.0,0.0,0,1,31,[29],0.4633333333333333,hilbert
Class1,P1,Class1_example_0029,2.0,0.014155513084220805,2.0000500940103167,2.0000500940103167,1.0,0.0,0,1,39,[37],0.4633333333333333,hilbert
Class1,P1,Class1_example_0030,,,,,,,1,0,25,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0031,3.0,0.03152410075723322,3.000165623582897,3.000165623582897,1.0,0.0,0,1,33,[30],0.4633333333333333,hilbert
Class1,P1,Class1_example_0032,,,,,,,1,0,25,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0033,,,,,,,1,0,26,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0034,5.0,0.03951915150323482,5.000156173894525,5.000156173894525,0.0,1.0,1,1,39,[34],0.4633333333333333,hilbert
Class1,P1,Class1_example_0035,3.0,0.03235889418857474,3.0001745112631544,3.0001745112631544,1.0,0.0,0,1,32,[29],0.4633333333333333,hilbert
Class1,P1,Class1_example_0036,4.0,0.029980436613135653,4.000112351744575,4.000112351744575,0.0,1.0,1,1,36,[32],0.4633333333333333,hilbert
Class1,P1,Class1_example_0037,3.0,0.03192661931012075,3.000169880026892,3.000169880026892,1.0,0.0,0,1,37,[34],0.4633333333333333,hilbert
Class1,P1,Class1_example_0038,,,,,,,1,0,31,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0039,,,,,,,1,0,25,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0040,4.0,0.03515795006610578,4.000154507197547,4.000154507197547,0.0,1.0,1,1,37,[33],0.4633333333333333,hilbert
Class1,P1,Class1_example_0041,3.0,0.02475896735905736,3.0001021660044658,3.0001021660044658,1.0,0.0,0,1,36,[33],0.4633333333333333,hilbert
Class1,P1,Class1_example_0042,3.0,0.029156541298463567,3.0001416806378476,3.0001416806378476,1.0,0.0,0,1,36,[33],0.4633333333333333,hilbert
Class1,P1,Class1_example_0043,4.0,0.0345953451771388,4.000149601940898,4.000149601940898,0.0,1.0,1,1,35,[31],0.4633333333333333,hilbert
Class1,P1,Class1_example_0044,3.0,0.030293360740694997,3.0001529440521804,3.0001529440521804,1.0,0.0,0,1,35,[32],0.4633333333333333,hilbert
Class1,P1,Class1_example_0045,4.0,0.04157283117950361,4.000216031702823,4.000216031702823,0.0,1.0,1,1,41,[37],0.4633333333333333,hilbert
Class1,P1,Class1_example_0046,3.0,0.01966546840486516,3.000064454415535,3.000064454415535,1.0,0.0,0,1,34,[31],0.4633333333333333,hilbert
Class1,P1,Class1_example_0047,3.0,0.031155072349156376,3.0001617687273265,3.0001617687273265,1.0,0.0,0,1,37,[34],0.4633333333333333,hilbert
Class1,P1,Class1_example_0048,,,,,,,1,0,23,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0049,3.0,0.02625908956015277,3.0001149210962783,3.0001149210962783,1.0,0.0,0,1,36,[33],0.4633333333333333,hilbert
Class1,P1,Class1_example_0050,2.0,0.012753849092358993,2.000040664753262,2.000040664753262,1.0,0.0,0,1,42,[40],0.4633333333333333,hilbert
Class1,P1,Class1_example_0051,,,,,,,1,0,29,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0052,,,,,,,1,0,31,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0053,3.0,0.009768321123125867,3.0000159033074416,3.0000159033074416,1.0,0.0,0,1,27,[24],0.4633333333333333,hilbert
Class1,P1,Class1_example_0054,,,,,,,1,0,35,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0055,,,,,,,1,0,35,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0056,,,,,,,1,0,28,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0057,,,,,,,1,0,30,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0058,3.0,0.025939251573080302,3.000112138699514,3.000112138699514,1.0,0.0,0,1,27,[24],0.4633333333333333,hilbert
Class1,P1,Class1_example_0059,,,,,,,1,0,26,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0060,,,,,,,1,0,30,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0061,,,,,,,1,0,24,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0062,,,,,,,1,0,27,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0063,,,,,,,1,0,26,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0064,,,,,,,1,0,36,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0065,,,,,,,1,0,27,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0066,,,,,,,1,0,33,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0067,,,,,,,1,0,29,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0068,,,,,,,1,0,60,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0069,,,,,,,1,0,30,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0070,4.0,0.02241591938321119,4.000062808687108,4.000062808687108,0.0,1.0,1,1,38,[34],0.4633333333333333,hilbert
Class1,P1,Class1_example_0071,3.0,0.032836314737277994,3.0001796985456597,3.0001796985456597,1.0,0.0,0,1,34,[31],0.4633333333333333,hilbert
Class1,P1,Class1_example_0072,5.0,0.034721062269921,5.000120553763194,5.000120553763194,0.0,1.0,1,1,46,[41],0.4633333333333333,hilbert
Class1,P1,Class1_example_0073,,,,,,,1,0,21,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0074,,,,,,,1,0,29,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0075,,,,,,,1,0,30,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0076,3.0,0.026209740057115738,3.000114489561,3.000114489561,1.0,0.0,0,1,31,[28],0.4633333333333333,hilbert
Class1,P1,Class1_example_0077,3.0,0.0254937655054418,3.0001083200577354,3.0001083200577354,1.0,0.0,0,1,31,[28],0.4633333333333333,hilbert
Class1,P1,Class1_example_0078,3.0,0.018659734232343794,3.0000580303856825,3.0000580303856825,1.0,0.0,0,1,33,[30],0.4633333333333333,hilbert
Class1,P1,Class1_example_0079,2.0,0.018916686781723424,2.0000894582590045,2.0000894582590045,1.0,0.0,0,1,29,[27],0.4633333333333333,hilbert
Class1,P1,Class1_example_0080,2.0,0.011932843765971257,2.0000355978732833,2.0000355978732833,1.0,0.0,0,1,28,[26],0.4633333333333333,hilbert
Class1,P1,Class1_example_0081,,,,,,,1,0,26,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0082,4.0,0.033927866554332664,4.000143884928257,4.000143884928257,0.0,1.0,1,1,33,[29],0.4633333333333333,hilbert
Class1,P1,Class1_example_0083,3.0,0.027751468564329418,3.000128354588763,3.000128354588763,1.0,0.0,0,1,31,[28],0.4633333333333333,hilbert
Class1,P1,Class1_example_0084,3.0,0.027406428122019655,3.0001251827719466,3.0001251827719466,1.0,0.0,0,1,31,[28],0.4633333333333333,hilbert
Class1,P1,Class1_example_0085,,,,,,,1,0,28,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0086,,,,,,,1,0,30,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0087,4.0,0.03462072178280118,4.000149821491285,4.000149821491285,0.0,1.0,1,1,50,[46],0.4633333333333333,hilbert
Class1,P1,Class1_example_0088,,,,,,,1,0,40,[],0.4633333333333333,hilbert
Class1,P1,Class1_example_0089,3.0,0.026365907458378746,3.0001158579421734,3.0001158579421734,1.0,0.0,0,1,44,[41],0.4633333333333333,hilbert
