Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,2.56020942408377,0.023069226305395957,2.5603208317062336,2.5289032532115057,161.0,33.0,139,0.6766666666666666,0.6366666666666667
Class1,P2,wavelet,6.249703440094899,0.0310192599081085,6.2498197447818145,2.6299843423128175,222.0,157.0,78,1.32,0.9366666666666666
Class1,P3,wavelet,16.8125,0.09486015450092228,16.812849401028785,3.1067051672323225,243.0,479.0,57,2.5233333333333334,1.0
Class2,P1,wavelet,5.3818407960199,0.04892165777889334,5.382138617338883,4.209232597728524,123.0,216.0,177,1.1766666666666667,0.8933333333333333
Class2,P2,wavelet,5.090800477897252,0.019197487274820856,5.090852693242483,3.2652812143124694,204.0,133.0,96,1.1933333333333334,0.93
Class2,P3,wavelet,15.353777777777777,0.12222587216913984,15.354352312030072,4.5901176438124205,205.0,457.0,95,2.29,1.0
Class3,P1,wavelet,2.824324324324324,0.03444383541266605,2.8245557309581684,2.726564239132037,226.0,92.0,74,1.18,0.9866666666666667
Class3,P2,wavelet,4.455516014234876,0.012540568451468306,4.455545398999452,3.231346247296224,238.0,89.0,62,1.1966666666666668,0.9366666666666666
Class3,P3,wavelet,11.786176142697881,0.055649543613690414,11.78636370202001,2.3512055694288616,250.0,383.0,50,2.2333333333333334,0.9966666666666667
Class4,P1,wavelet,,,,,0.0,0.0,100,0.0,0.0
Class4,P2,wavelet,1.4477611940298507,0.0025837193490043588,1.4477638827964134,1.3582115102302945,64.0,4.0,36,0.77,0.67
Class4,P3,wavelet,,,,,0.0,0.0,100,0.0,0.0
