Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,2.8487544483985765,0.02893421641032716,2.848911101037066,2.7545895621826944,207.0,92.0,93,1.1133333333333333,0.9366666666666666
Class1,P2,wavelet,15.635011185682327,0.06405674065719283,15.635205240502893,2.550425336920961,235.0,385.0,65,2.13,0.9933333333333333
Class1,P3,wavelet,19.98038888888889,0.12223138351432683,19.98085364639218,2.886704289817147,244.0,575.0,56,2.8466666666666667,1.0
Class2,P1,wavelet,7.666064981949458,0.04919647757529316,7.666345257698637,4.256601667313887,123.0,292.0,177,1.43,0.9233333333333333
Class2,P2,wavelet,6.638517279821628,0.02611313408196876,6.638590256527335,2.6923548892208853,222.0,205.0,78,1.5,0.9966666666666667
Class2,P3,wavelet,18.943944444444444,0.15907840790359737,18.944705742384883,3.4333970462334626,210.0,589.0,90,2.75,1.0
Class3,P1,wavelet,2.785234899328859,0.03377432633175295,2.7854604213356158,2.661275689634974,229.0,92.0,71,1.19,0.9933333333333333
Class3,P2,wavelet,6.096388888888889,0.02026585042103149,6.096442730671104,1.6400214367729364,278.0,186.0,22,1.6866666666666668,1.0
Class3,P3,wavelet,12.499219620958753,0.06364639267191716,12.499446647951581,2.274277434519083,251.0,410.0,49,2.3266666666666667,0.9966666666666667
Class4,P1,wavelet,,,,,0.0,0.0,100,0.0,0.0
Class4,P2,wavelet,2.3369565217391304,0.005585782926817932,2.3369652209268224,2.1304426941430963,78.0,20.0,22,1.12,0.92
Class4,P3,wavelet,,,,,0.0,0.0,100,0.0,0.0
