Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,31,[31],1.0,line_distance_3
Class1,P1,Class1_example_0002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,31,[31],1.0,line_distance_3
Class1,P1,Class1_example_0003,1.0,0.0016735529244863434,1.000001400388715,1.000001400388715,1.0,0.0,0.0,1,33,[32],1.0,line_distance_3
Class1,P1,Class1_example_0004,2.0,0.008085813407174403,2.000016345027824,2.000016345027824,1.0,0.0,0.0,1,38,[36],1.0,line_distance_3
Class1,P1,Class1_example_0005,3.0,0.023935252796530748,3.000095481201629,3.000095481201629,1.0,0.0,0.0,1,38,[35],1.0,line_distance_3
Class1,P1,Class1_example_0006,1.0,0.003915273951857978,1.0000076646556857,1.0000076646556857,1.0,0.0,0.0,1,25,[26],1.0,line_distance_3
Class1,P1,Class1_example_0007,1.0,0.004677231923879033,1.000010938189413,1.000010938189413,1.0,0.0,0.0,1,31,[30],1.0,line_distance_3
Class1,P1,Class1_example_0008,3.0,0.006088453326226206,3.000006178204289,3.000006178204289,1.0,0.0,0.0,1,31,[34],1.0,line_distance_3
Class1,P1,Class1_example_0009,1.0,0.0002465457345613986,1.000000030392399,1.000000030392399,1.0,0.0,0.0,1,37,[36],1.0,line_distance_3
Class1,P1,Class1_example_0010,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,29,[29],1.0,line_distance_3
Class1,P1,Class1_example_0011,1.0,0.000505740753079964,1.0000001278868464,1.0000001278868464,1.0,0.0,0.0,1,28,[29],1.0,line_distance_3
Class1,P1,Class1_example_0012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,29,[29],1.0,line_distance_3
Class1,P1,Class1_example_0013,3.0,0.01217826937791977,3.0000247182723414,3.0000247182723414,1.0,0.0,0.0,1,38,[35],1.0,line_distance_3
Class1,P1,Class1_example_0014,1.0,0.0013502507526971241,1.000000911588132,1.000000911588132,1.0,0.0,0.0,1,35,[34],1.0,line_distance_3
Class1,P1,Class1_example_0015,1.0,0.003091230490414598,1.0000047778415586,1.0000047778415586,1.0,0.0,0.0,1,32,[31],1.0,line_distance_3
Class1,P1,Class1_example_0016,2.0,0.006863230292513234,2.000011775947844,2.000011775947844,1.0,0.0,0.0,1,33,[31],1.0,line_distance_3
Class1,P1,Class1_example_0017,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,32,[32],1.0,line_distance_3
