Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,line_distance_3,1.2033333333333334,0.006349554143591078,1.2033598270083823,1.2033598270083823,292.0,8.0,8.0,1.0,1.0
Class1,P2,line_distance_3,4.157407407407407,0.018330096499781023,4.157463998756833,4.157463998756833,171.0,45.0,129.0,0.72,0.72
Class1,P3,line_distance_3,6.592592592592593,0.03388176366619833,6.592703932438281,6.592703932438281,112.0,158.0,188.0,0.9,0.9
Class2,P1,line_distance_3,2.298611111111111,0.013585494558063259,2.2986617135785696,2.2986617135785696,229.0,59.0,71.0,0.96,0.96
Class2,P2,line_distance_3,3.1396648044692737,0.011173765455758452,3.1396970716536243,3.1396970716536243,156.0,23.0,144.0,0.5966666666666667,0.5966666666666667
Class2,P3,line_distance_3,11.027932960893855,0.08261349338117366,11.028273547163591,11.028273547163591,22.0,157.0,278.0,0.5966666666666667,0.5966666666666667
Class3,P1,line_distance_3,1.9507575757575757,0.015224591742887211,1.9508277249128096,1.9508277249128096,241.0,23.0,59.0,0.88,0.88
Class3,P2,line_distance_3,3.189516129032258,0.014029563555921084,3.1895599608378444,3.1895599608378444,167.0,81.0,133.0,0.8266666666666667,0.8266666666666667
Class3,P3,line_distance_3,9.60344827586207,0.07630874105427549,9.603778400526435,9.603778400526435,28.0,204.0,272.0,0.7733333333333333,0.7733333333333333
Class4,P1,line_distance_3,,,,,0.0,0.0,49.0,0.51,0.51
Class4,P2,line_distance_3,67.03571428571429,0.5997915654683066,67.03844692200416,67.03844692200416,0.0,28.0,100.0,0.28,0.28
Class4,P3,line_distance_3,,,,,0.0,0.0,80.0,0.2,0.2
