Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,hilbert,64.35295238095239,0.38920615499226985,64.35418484438195,1.3333539906605976,290.0,630.0,10.0,3.066666666666667,1.0
Class1,P2,hilbert,55.87088095238095,0.3154350148434173,55.87194463580734,23.96430935022694,36.0,884.0,264.0,3.066666666666667,1.0
Class1,P3,hilbert,48.815468253968255,0.2897894688831269,48.81642831947019,6.443467952428025,184.0,736.0,116.0,3.066666666666667,1.0
Class2,P1,hilbert,54.4915,0.2701627394255914,54.492298972428664,1.4600239498245813,281.0,567.0,19.0,2.8266666666666667,1.0
Class2,P2,hilbert,48.15272222222222,0.2857759712313338,48.153765038527354,12.893369891555976,100.0,748.0,200.0,2.8266666666666667,1.0
Class2,P3,hilbert,51.25694444444445,0.2916714645548661,51.25801600020971,18.89372237982019,119.0,729.0,181.0,2.8266666666666667,1.0
Class3,P1,hilbert,57.92838888888889,0.39214369790445613,57.9303344216096,25.008826061907886,60.0,559.0,240.0,2.0633333333333335,1.0
Class3,P2,hilbert,32.671166666666664,0.22352996058061725,32.67201425999086,4.723391473098834,191.0,428.0,109.0,2.0633333333333335,1.0
Class3,P3,hilbert,36.124500000000005,0.2385707298123304,36.125438677934056,12.790166606975289,120.0,499.0,180.0,2.0633333333333335,1.0
Class4,P1,hilbert,,,,,0.0,0.0,0.0,1.15,1.0
Class4,P2,hilbert,11.72,0.07999129108391433,11.720304308819577,3.1700170037757713,67.0,48.0,33.0,1.15,1.0
Class4,P3,hilbert,,,,,0.0,0.0,0.0,1.15,1.0
