Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,hilbert,2.716666666666667,0.025190468772459226,2.716793348409526,2.716793348409526,247.0,53.0,53.0,1.0,1.0
Class1,P2,hilbert,4.890410958904109,0.014488405604060577,4.890441471136127,4.890441471136127,113.0,33.0,187.0,0.4866666666666667,0.4866666666666667
Class1,P3,hilbert,2.5573122529644268,0.006232994305667685,2.55732271934832,2.55732271934832,195.0,58.0,105.0,0.8433333333333334,0.8433333333333334
Class2,P1,hilbert,3.1,0.029686200395848027,3.100154969780497,3.100154969780497,198.0,102.0,102.0,1.0,1.0
Class2,P2,hilbert,2.46875,0.006118735558647463,2.4687629183473105,2.4687629183473105,168.0,24.0,132.0,0.64,0.64
Class2,P3,hilbert,2.4776119402985075,0.008667621322093625,2.4776305810006294,2.4776305810006294,108.0,26.0,192.0,0.44666666666666666,0.44666666666666666
Class3,P1,hilbert,1.7976190476190477,0.0133002918224731,1.7976788185745622,1.7976788185745622,158.0,10.0,142.0,0.56,0.56
Class3,P2,hilbert,2.4178571428571427,0.007604370134391731,2.417872375124526,2.39287223793627,239.0,42.0,61.0,0.9366666666666666,0.9333333333333333
Class3,P3,hilbert,1.6613756613756614,0.005280219213474016,1.661386266835389,1.661386266835389,177.0,12.0,123.0,0.63,0.63
Class4,P1,hilbert,,,,,0.0,0.0,53.0,0.47,0.47
Class4,P2,hilbert,,,,,0.0,0.0,100.0,0.0,0.0
Class4,P3,hilbert,,,,,0.0,0.0,99.0,0.02,0.01
