Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,39,[39],0.96,concave_tuned
Class1,P1,Class1_it2_example_0002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,40,[40],0.96,concave_tuned
Class1,P1,Class1_it2_example_0003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,40,[40],0.96,concave_tuned
Class1,P1,Class1_it2_example_0004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,42,[42],0.96,concave_tuned
Class1,P1,Class1_it2_example_0005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,39,[39],0.96,concave_tuned
Class1,P1,Class1_it2_example_0006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,41,[41],0.96,concave_tuned
Class1,P1,Class1_it2_example_0007,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,42,[42],0.96,concave_tuned
Class1,P1,Class1_it2_example_0008,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,38,[38],0.96,concave_tuned
Class1,P1,Class1_it2_example_0009,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,38,[38],0.96,concave_tuned
Class1,P1,Class1_it2_example_0010,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,41,[41],0.96,concave_tuned
Class1,P1,Class1_it2_example_0011,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,35,[35],0.96,concave_tuned
Class1,P1,Class1_it2_example_0012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,36,[36],0.96,concave_tuned
Class1,P1,Class1_it2_example_0013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,36,[36],0.96,concave_tuned
Class1,P1,Class1_it2_example_0014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,41,[41],0.96,concave_tuned
Class1,P1,Class1_it2_example_0015,,,,,,,1.0,0,23,[],0.96,concave_tuned
Class1,P1,Class1_it2_example_0016,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,29,[29],0.96,concave_tuned
