Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,line_distance_3,4.107666666666667,0.04700961032053403,4.107999237534931,3.6682430735095974,126.0,170.0,124.0,1.184,1.0
Class1,P2,line_distance_3,5.177203856749311,0.02630161229045083,5.177307989294904,3.719092714901146,193.0,137.0,57.0,1.32,0.968
Class1,P3,line_distance_3,11.848037457660888,0.07875503784697598,11.848340602858176,7.234505721849258,153.0,394.0,97.0,2.188,0.956
Class2,P1,line_distance_3,5.128,0.06202728718098562,5.128458992601161,4.476385635039079,88.0,212.0,162.0,1.2,1.0
Class2,P2,line_distance_3,8.123349436392914,0.05176155058380164,8.123598407157674,5.840787291697256,156.0,181.0,94.0,1.348,0.828
Class2,P3,line_distance_3,18.608154235145385,0.16377299959602928,18.60892598499916,13.735079611493848,109.0,384.0,141.0,1.972,0.904
Class3,P1,line_distance_3,4.437349397590362,0.06685991850018903,4.437904420058906,3.71939395904259,117.0,180.0,133.0,1.188,0.996
Class3,P2,line_distance_3,5.709728183118741,0.03340961786503534,5.709872812719456,3.862730101686094,177.0,177.0,73.0,1.416,0.932
Class3,P3,line_distance_3,11.79100968188105,0.10296119885676495,11.791501002323827,7.850950317789305,161.0,298.0,89.0,1.84,0.964
Class4,P1,line_distance_3,,,,,0.0,0.0,9.0,2.24,0.82
Class4,P2,line_distance_3,60.39358974358974,0.5276318176212822,60.39596854170177,54.207304917232065,0.0,91.0,50.0,1.82,0.78
Class4,P3,line_distance_3,,,,,0.0,0.0,21.0,1.3,0.58
