Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,69.85714285714286,0.5596033767516946,69.86038736371931,5.000275203429418,0.0,7.0,1.0,7,39,"[4, 34, 74, 106, 125, 164, 175]",1.0,line_distance_3
Class1,P1,Class1_it2_example_0002,73.0,0.5511547017243152,73.00312727454585,6.0002787879994886,0.0,7.0,1.0,7,40,"[4, 34, 72, 109, 153, 160, 175]",1.0,line_distance_3
Class1,P1,Class1_it2_example_0003,66.16666666666667,0.5201873854617552,66.16994952421429,6.000198902582421,0.0,6.0,1.0,6,40,"[4, 34, 72, 110, 158, 175]",1.0,line_distance_3
Class1,P1,Class1_it2_example_0004,74.85714285714286,0.5792589772525171,74.8603395220484,7.00023848993083,0.0,7.0,1.0,7,42,"[4, 35, 75, 110, 159, 170, 175]",1.0,line_distance_3
Class1,P1,Class1_it2_example_0005,53.4,0.4831280704003523,53.403454124461994,6.0002000815033965,0.0,5.0,1.0,5,39,"[1, 33, 69, 107, 164]",1.0,line_distance_3
Class1,P1,Class1_it2_example_0006,66.16666666666667,0.5368988586798583,66.16995266560812,6.000179777027163,0.0,6.0,1.0,6,41,"[4, 35, 71, 106, 166, 175]",1.0,line_distance_3
Class1,P1,Class1_it2_example_0007,54.8,0.49507412535427936,54.803429762869044,5.000082910547322,0.0,5.0,1.0,5,42,"[4, 37, 72, 110, 175]",1.0,line_distance_3
Class1,P1,Class1_it2_example_0008,71.28571428571429,0.5176097514408299,71.28873838619378,5.00027801907801,0.0,7.0,1.0,7,38,"[4, 33, 74, 106, 126, 169, 175]",1.0,line_distance_3
Class1,P1,Class1_it2_example_0009,69.5,0.5257345786975688,69.50331019061564,6.000264063342945,0.0,6.0,1.0,6,38,"[4, 32, 75, 109, 170, 175]",1.0,line_distance_3
Class1,P1,Class1_it2_example_0010,68.0,0.53418316203552,68.00327803037703,6.000267291903818,0.0,6.0,1.0,6,41,"[4, 35, 76, 113, 165, 175]",1.0,line_distance_3
Class1,P1,Class1_it2_example_0011,62.666666666666664,0.5037179641943951,62.67025714638036,4.0000996414468055,0.0,6.0,1.0,6,35,"[4, 31, 69, 102, 135, 175]",1.0,line_distance_3
Class1,P1,Class1_it2_example_0012,63.8,0.34792595017423,63.80097764559988,7.0003064396653345,0.0,5.0,1.0,5,36,"[29, 67, 107, 127, 155]",1.0,line_distance_3
