Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,67.60801385281385,0.4658214397870771,67.6102110697056,3.7442133005389793,132.0,1705.0,118.0,7.392,1.0
Class1,P2,wavelet,53.157419624819624,0.30989292266413776,53.15852988850253,2.5480756175236023,190.0,1640.0,60.0,7.392,1.0
Class1,P3,wavelet,46.30546666666667,0.27423246003934015,46.30644478052736,2.9240162583907283,177.0,1640.0,73.0,7.392,1.0
Class2,P1,wavelet,68.20795151515152,0.36975549101128674,68.20956025563763,4.5283322468407174,105.0,1729.0,145.0,7.376,1.0
Class2,P2,wavelet,53.18616046176046,0.38826315510726667,53.18782823855696,2.132025079037456,203.0,1624.0,47.0,7.376,1.0
Class2,P3,wavelet,46.162037806637805,0.3195818516730281,46.163436807818556,3.3720484103144006,163.0,1656.0,87.0,7.376,1.0
Class3,P1,wavelet,69.81991003441003,0.28310817089749535,69.82090970884282,3.0683113745925925,166.0,1683.0,84.0,7.504,1.0
Class3,P2,wavelet,51.75331724941724,0.4344482469147079,51.75532702951714,1.5200131995750261,226.0,1620.0,24.0,7.504,1.0
Class3,P3,wavelet,45.800724708624706,0.35469302597701524,45.802310841783594,3.176056730669826,156.0,1700.0,94.0,7.504,1.0
Class4,P1,wavelet,,,,,0.0,0.0,0.0,7.72,1.0
Class4,P2,wavelet,51.255224275724274,0.47626721739027905,51.25760394367724,2.120012066974904,42.0,340.0,8.0,7.72,1.0
Class4,P3,wavelet,,,,,0.0,0.0,0.0,7.72,1.0
