Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,1.764,0.008949399358013144,1.7640277266529076,1.6760252420374608,208.0,49.0,42.0,1.176,1.0
Class1,P2,wavelet,5.315789473684211,0.024482321658967108,5.315875549726168,5.274938809161438,112.0,64.0,138.0,0.74,0.684
Class1,P3,wavelet,7.743380062305295,0.04174458591757006,7.743512820274094,7.430035271022368,75.0,184.0,175.0,1.092,0.856
Class2,P1,wavelet,2.3206666666666664,0.014832664385249694,2.3207233348682044,2.17205173821189,197.0,74.0,53.0,1.244,1.0
Class2,P2,wavelet,6.2787193973634645,0.030010218843572186,6.2788361712412675,6.180905910746882,134.0,56.0,116.0,0.804,0.708
Class2,P3,wavelet,14.801169590643275,0.11498335391358576,14.80164576106971,14.67883510149248,23.0,178.0,227.0,0.812,0.684
Class3,P1,wavelet,2.398224043715847,0.025839789810240047,2.398385564409291,2.008338656740375,213.0,59.0,37.0,1.292,0.976
Class3,P2,wavelet,4.029761904761904,0.017345472302201796,4.029828509495998,3.8795299183745784,180.0,53.0,70.0,1.02,0.896
Class3,P3,wavelet,10.79861111111111,0.08575948051099619,10.798978927008243,10.65313826204496,18.0,234.0,232.0,1.012,0.864
Class4,P1,wavelet,,,,,0.0,0.0,25.0,0.56,0.5
Class4,P2,wavelet,59.964285714285715,0.524104346563662,59.966668649347206,57.35945338173212,0.0,18.0,50.0,0.36,0.28
Class4,P3,wavelet,,,,,0.0,0.0,34.0,0.46,0.32
