Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,line_distance_3,2.462121212121212,0.011896812163755308,2.462156681403331,2.462156681403331,96.0,36.0,154,0.528,0.528
Class1,P2,line_distance_3,18.446188340807176,0.06328656851559306,18.446369548546667,13.053949880470185,122.0,174.0,128,1.184,0.892
Class1,P3,line_distance_3,16.651333333333334,0.09025189261189201,16.651649074152314,5.68407412451581,84.0,345.0,166,1.716,1.0
Class2,P1,line_distance_3,4.974137931034483,0.021174427750237205,4.9742056688528535,4.247193206618987,116.0,68.0,134,0.736,0.696
Class2,P2,line_distance_3,7.929245283018868,0.019426105308425628,7.92928052342347,6.608522365801908,149.0,81.0,101,0.92,0.848
Class2,P3,line_distance_3,16.789825970548865,0.11976902912705166,16.790320039255448,7.076453776469447,44.0,364.0,206,1.632,0.996
Class3,P1,line_distance_3,3.030456852791878,0.027467023331262684,3.0305997902582122,3.0305997902582122,139.0,58.0,111,0.788,0.788
Class3,P2,line_distance_3,6.098712446351931,0.031720484622242674,6.098833811900909,5.952919316639675,121.0,117.0,129,0.952,0.932
Class3,P3,line_distance_3,17.572727272727274,0.09959202905576188,17.57310690438443,11.59580987471179,19.0,322.0,231,1.364,0.88
Class4,P1,line_distance_3,,,,,0.0,0.0,50,0.0,0.0
Class4,P2,line_distance_3,4.214285714285714,0.01647168743659903,4.214322569510249,4.214322569510249,5.0,9.0,45,0.28,0.28
Class4,P3,line_distance_3,,,,,0.0,0.0,50,0.0,0.0
