Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,2.0,0.005350876829942397,2.0000071579579033,2.0000071579579033,1.0,0.0,0.0,1,39,[41],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0002,1.0,0.0018786116399367447,1.00000176458929,1.00000176458929,1.0,0.0,0.0,1,40,[41],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0003,2.0,0.0038368230742983345,2.00000368029944,2.00000368029944,1.0,0.0,0.0,1,40,[42],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0004,1.0,0.0014298222398717586,1.0000010221952964,1.0000010221952964,1.0,0.0,0.0,1,42,[43],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0005,1.0,0.0012147365434596047,1.000000737792163,1.000000737792163,1.0,0.0,0.0,1,39,[40],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0006,,,,,,,1.0,0,41,[],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0007,1.0,0.0011790861212948034,1.000000695121799,1.000000695121799,1.0,0.0,0.0,1,42,[43],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0008,2.0,0.0030233735261252503,2.000002285195564,2.000002285195564,1.0,0.0,0.0,1,38,[40],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0009,1.0,0.002239053197621965,1.000002506676469,1.000002506676469,1.0,0.0,0.0,1,38,[39],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0010,,,,,,,1.0,0,41,[],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0011,,,,,,,1.0,0,35,[],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0012,,,,,,,1.0,0,36,[],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0013,1.0,0.0030133829230639675,1.0000045402280138,1.0000045402280138,1.0,0.0,0.0,1,36,[37],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,41,[41],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0015,4.0,0.042858041925529,4.000229594880485,4.000229594880485,0.0,1.0,1.0,1,23,[27],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0016,1.0,0.0035034530257548324,1.00000613707272,1.00000613707272,1.0,0.0,0.0,1,29,[30],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0017,3.0,0.021922831185474112,3.000080100685178,3.000080100685178,1.0,0.0,0.0,1,27,[30],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0018,2.0,0.013792093402725247,2.0000475548947403,2.0000475548947403,1.0,0.0,0.0,1,28,[30],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0019,2.0,0.012511055241628655,2.0000391312430015,2.0000391312430015,1.0,0.0,0.0,1,28,[30],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0020,1.0,0.0008005860781333807,1.000000320468983,1.000000320468983,1.0,0.0,0.0,1,37,[38],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0021,2.0,0.004458007491003446,2.000004968451526,2.000004968451526,1.0,0.0,0.0,1,37,[39],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0022,1.0,0.002114255927009978,1.0000022350365647,1.0000022350365647,1.0,0.0,0.0,1,41,[42],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,45,[45],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0024,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,46,[46],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0025,,,,,,,1.0,0,43,[],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0026,1.0,0.0009451719776323309,1.000000446674934,1.000000446674934,1.0,0.0,0.0,1,41,[42],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0027,,,,,,,1.0,0,44,[],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0028,1.0,0.0012564118383360245,1.0000007892850422,1.0000007892850422,1.0,0.0,0.0,1,45,[46],0.848,modified_scholkmann0-5
Class1,P1,Class1_it2_example_0029,2.0,0.004744911770853011,2.000005628539008,2.000005628539008,1.0,0.0,0.0,1,58,[60],0.848,modified_scholkmann0-5
