Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,concave_tuned,1.242603550295858,0.0057769127698545026,1.2426211799677438,1.2426211799677438,166.0,3.0,84,0.676,0.676
Class1,P2,concave_tuned,10.474358974358974,0.03448597769476102,10.474436666368955,10.230841424690539,17.0,23.0,233,0.16,0.156
Class1,P3,concave_tuned,5.149779735682819,0.015024119976094258,5.149817069536981,2.444951499776906,199.0,67.0,51,1.064,0.908
Class2,P1,concave_tuned,4.767361111111111,0.011065005799562365,4.767395874652823,4.312536419251717,102.0,48.0,148,0.6,0.576
Class2,P2,concave_tuned,7.321428571428571,0.014171820783482841,7.321450272109045,4.366090548579541,176.0,99.0,74,1.1,0.896
Class2,P3,concave_tuned,4.611940298507463,0.01529272880326076,4.611990976168863,4.611990976168863,51.0,16.0,199,0.268,0.268
Class3,P1,concave_tuned,4.0,0.005382635070880437,4.000004327589278,4.000004327589278,1.0,2.0,249,0.012,0.012
Class3,P2,concave_tuned,2.2120535714285716,0.00472705253010214,2.2120618843162627,1.9509010785628313,207.0,23.0,43,0.92,0.896
Class3,P3,concave_tuned,5.338235294117647,0.008358718080270715,5.33824674196172,5.10785212219308,80.0,23.0,170,0.412,0.408
Class4,P1,concave_tuned,,,,,0.0,0.0,50,0.0,0.0
Class4,P2,concave_tuned,1.0,0.0015669510938517799,1.000002455499294,1.000002455499294,12.0,0.0,38,0.24,0.24
Class4,P3,concave_tuned,,,,,0.0,0.0,50,0.0,0.0
