Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_it2_example_0001,4.0,0.03230178041692999,4.000130423500977,4.000130423500977,0.0,1.0,1,1,39,[35],0.776,wavelet
Class1,P1,Class1_it2_example_0002,5.0,0.03830034776081459,5.0001466895120785,5.0001466895120785,0.0,1.0,1,1,40,[35],0.776,wavelet
Class1,P1,Class1_it2_example_0003,6.0,0.04885560921013554,6.000198902582421,6.000198902582421,0.0,1.0,1,1,40,[34],0.776,wavelet
Class1,P1,Class1_it2_example_0004,7.0,0.05778335321754613,7.00023848993083,7.00023848993083,0.0,1.0,1,1,42,[35],0.776,wavelet
Class1,P1,Class1_it2_example_0005,6.0,0.04900018442174037,6.0002000815033965,6.0002000815033965,0.0,1.0,1,1,39,[33],0.776,wavelet
Class1,P1,Class1_it2_example_0006,6.0,0.04644735348466167,6.000179777027163,6.000179777027163,0.0,1.0,1,1,41,[35],0.776,wavelet
Class1,P1,Class1_it2_example_0007,7.0,0.06321077257231522,7.00028539430852,7.00028539430852,0.0,1.0,1,1,42,[35],0.776,wavelet
Class1,P1,Class1_it2_example_0008,4.0,0.03320751262114363,4.000137839986828,4.000137839986828,0.0,1.0,1,1,38,[34],0.776,wavelet
Class1,P1,Class1_it2_example_0009,5.0,0.03561013110010036,5.0001268065357065,5.0001268065357065,0.0,1.0,1,1,38,[33],0.776,wavelet
Class1,P1,Class1_it2_example_0010,6.0,0.05663545083054344,6.000267291903818,6.000267291903818,0.0,1.0,1,1,41,[35],0.776,wavelet
Class1,P1,Class1_it2_example_0011,4.0,0.028233694460011227,4.0000996414468055,4.0000996414468055,0.0,1.0,1,1,35,[31],0.776,wavelet
Class1,P1,Class1_it2_example_0012,6.0,0.04452854263682238,6.000165230317359,6.000165230317359,0.0,1.0,1,1,36,[30],0.776,wavelet
Class1,P1,Class1_it2_example_0013,5.5,0.043976601133780546,5.500178582053067,5.000118881302935,0.0,2.0,1,2,36,"[30, 31]",0.776,wavelet
Class1,P1,Class1_it2_example_0014,6.0,0.03719335017600556,6.000115277667365,6.000115277667365,0.0,1.0,1,1,41,[35],0.776,wavelet
Class1,P1,Class1_it2_example_0015,,,,,,,1,0,23,[],0.776,wavelet
Class1,P1,Class1_it2_example_0016,3.0,0.018281397154547796,3.0000557010632187,3.0000557010632187,1.0,0.0,0,1,29,[26],0.776,wavelet
Class1,P1,Class1_it2_example_0017,0.0,0.0,0.0,0.0,1.0,0.0,0,1,27,[27],0.776,wavelet
Class1,P1,Class1_it2_example_0018,0.0,0.0,0.0,0.0,1.0,0.0,0,1,28,[28],0.776,wavelet
Class1,P1,Class1_it2_example_0019,2.0,0.023259815538758,2.0001352501815712,2.0001352501815712,1.0,0.0,0,1,28,[26],0.776,wavelet
Class1,P1,Class1_it2_example_0020,4.0,0.018870599466778604,4.000044512192862,4.000044512192862,0.0,1.0,1,1,37,[33],0.776,wavelet
Class1,P1,Class1_it2_example_0021,2.0,0.01928550121693262,2.000092980477955,2.000092980477955,1.0,0.0,0,1,37,[35],0.776,wavelet
Class1,P1,Class1_it2_example_0022,2.0,0.00938628279514997,2.0000220254548973,2.0000220254548973,1.0,0.0,0,1,41,[39],0.776,wavelet
Class1,P1,Class1_it2_example_0023,,,,,,,1,0,45,[],0.776,wavelet
Class1,P1,Class1_it2_example_0024,4.0,0.024512653456511768,4.000075108067282,4.000075108067282,0.0,1.0,1,1,46,[42],0.776,wavelet
Class1,P1,Class1_it2_example_0025,3.5,0.02202628890291264,3.5000709978561515,3.0000399125150095,1.0,1.0,0,2,43,"[39, 40]",0.776,wavelet
Class1,P1,Class1_it2_example_0026,3.0,0.02113679140012914,3.0000744597344067,3.0000744597344067,1.0,0.0,0,1,41,[38],0.776,wavelet
Class1,P1,Class1_it2_example_0027,4.0,0.029195117114907743,4.000106542938995,4.000106542938995,0.0,1.0,1,1,44,[40],0.776,wavelet
Class1,P1,Class1_it2_example_0028,3.5,0.024142625781137794,3.500085521086058,3.000046820737361,1.0,1.0,0,2,45,"[41, 42]",0.776,wavelet
Class1,P1,Class1_it2_example_0029,3.0,0.029362550870703386,3.0001436897911464,3.0001436897911464,1.0,0.0,0,1,58,[55],0.776,wavelet
Class1,P1,Class1_it2_example_0030,1.0,0.006646601125328777,1.0000220884093107,1.0000220884093107,1.0,0.0,0,1,28,[27],0.776,wavelet
Class1,P1,Class1_it2_example_0031,,,,,,,1,0,27,[],0.776,wavelet
Class1,P1,Class1_it2_example_0032,,,,,,,1,0,34,[],0.776,wavelet
Class1,P1,Class1_it2_example_0033,6.0,0.030285259704379675,6.000076432592786,6.000076432592786,0.0,1.0,1,1,34,[28],0.776,wavelet
Class1,P1,Class1_it2_example_0034,3.0,0.026528255973084836,3.0001172891013734,3.0001172891013734,1.0,0.0,0,1,31,[28],0.776,wavelet
Class1,P1,Class1_it2_example_0035,3.0,0.020315876280695533,3.0000687883495356,3.0000687883495356,1.0,0.0,0,1,39,[36],0.776,wavelet
Class1,P1,Class1_it2_example_0036,3.0,0.03181298628472118,3.000168672940965,3.000168672940965,1.0,0.0,0,1,40,[37],0.776,wavelet
