Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,modified_scholkmann0-5,32.06842818428184,0.14749329493362717,32.06883161038181,8.80902533117696,202.0,255.0,48.0,1.828,0.984
Class1,P2,modified_scholkmann0-5,29.60487804878049,0.1514517554836835,29.605529850164018,22.460211782968496,34.0,423.0,216.0,1.828,0.984
Class1,P3,modified_scholkmann0-5,32.59783197831978,0.17367719693164793,32.59837587774985,11.362019406393177,170.0,287.0,80.0,1.828,0.984
Class2,P1,modified_scholkmann0-5,36.55756358768407,0.0677614142762468,36.557677260575055,30.84344899832432,37.0,285.0,213.0,1.288,0.996
Class2,P2,modified_scholkmann0-5,13.400937081659974,0.030280706836226325,13.401001716726038,9.554237748346164,154.0,168.0,96.0,1.288,0.996
Class2,P3,modified_scholkmann0-5,23.94243641231593,0.14899838482835764,23.94304140093182,18.691323393619932,93.0,229.0,157.0,1.288,0.996
Class3,P1,modified_scholkmann0-5,38.69635627530364,0.35129503196429956,38.69820216909428,38.69820216909428,0.0,247.0,250.0,0.988,0.988
Class3,P2,modified_scholkmann0-5,7.3117408906882595,0.011423488955922712,7.311755611638305,7.311755611638305,181.0,66.0,69.0,0.988,0.988
Class3,P3,modified_scholkmann0-5,18.805668016194332,0.1247058928309008,18.806192637787753,18.806192637787753,56.0,191.0,194.0,0.988,0.988
Class4,P1,modified_scholkmann0-5,,,,,0.0,0.0,0.0,1.0,1.0
Class4,P2,modified_scholkmann0-5,1.6,0.003098574150043272,1.6000043530257277,1.6000043530257277,42.0,8.0,8.0,1.0,1.0
Class4,P3,modified_scholkmann0-5,,,,,0.0,0.0,0.0,1.0,1.0
