Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,2.8383838383838382,0.01915981286025169,2.838453959104337,2.81825072047498,72.0,29.0,178,0.412,0.396
Class1,P2,wavelet,5.828616352201259,0.023674976948499325,5.828701423980739,4.014217567565372,167.0,83.0,83,1.048,0.848
Class1,P3,wavelet,16.473666666666666,0.08490926250045985,16.47396711544152,4.824054111593022,145.0,378.0,105,2.228,1.0
Class2,P1,wavelet,3.8693957115009745,0.028580822371000205,3.8695222077870035,3.274968738172624,106.0,89.0,144,0.872,0.684
Class2,P2,wavelet,4.994961240310078,0.012138724077429058,4.994984230743516,4.0279289174286745,168.0,83.0,82,1.072,0.86
Class2,P3,wavelet,14.575066666666668,0.09747363204801726,14.575467302858023,6.412135765033365,110.0,357.0,140,1.936,1.0
Class3,P1,wavelet,2.0508701472556896,0.022227029356273607,2.051008836692834,1.8916878533111179,210.0,57.0,40,1.268,0.996
Class3,P2,wavelet,2.8279816513761467,0.007668803015946863,2.8279978738794544,2.5734101889887455,186.0,39.0,64,1.024,0.872
Class3,P3,wavelet,16.171768707482993,0.10264335344080885,16.17221549041706,9.114665845661449,59.0,425.0,191,2.0,0.98
Class4,P1,wavelet,,,,,0.0,0.0,50,0.0,0.0
Class4,P2,wavelet,0.9375,0.0012173922581271007,0.9375010751469434,0.8750007925403994,8.0,0.0,42,0.18,0.16
Class4,P3,wavelet,,,,,0.0,0.0,50,0.0,0.0
