Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,concave_tuned,0.025974025974025976,3.123271301603567e-05,0.025974055814747033,0.025974055814747033,231.0,0.0,19,0.924,0.924
Class1,P2,concave_tuned,9.143382352941176,0.03356647346808367,9.143502825913828,6.8089079872441145,44.0,49.0,206,0.376,0.272
Class1,P3,concave_tuned,7.645565092989986,0.02633271375827044,7.645635798836646,1.3047260891770276,222.0,179.0,28,1.66,0.932
Class2,P1,concave_tuned,2.4936305732484074,0.0038945268938368137,2.4936349885536617,1.5350350476599597,145.0,35.0,105,0.728,0.628
Class2,P2,concave_tuned,5.697033898305085,0.010150892436054914,5.697048273539842,2.550856320552316,212.0,120.0,38,1.344,0.944
Class2,P3,concave_tuned,10.431623931623932,0.06266914392949349,10.431886405053328,7.7266676155880125,56.0,120.0,194,0.704,0.468
Class3,P1,concave_tuned,2.526315789473684,0.008373675415066515,2.52633857714778,2.473707014726646,15.0,4.0,235,0.08,0.076
Class3,P2,concave_tuned,1.4821937321937322,0.003489696156273951,1.4822005393348419,0.6709463714373823,227.0,35.0,23,1.064,0.936
Class3,P3,concave_tuned,4.956896551724138,0.01088004610820859,4.956918975611835,3.735640180035072,144.0,73.0,106,0.88,0.696
Class4,P1,concave_tuned,,,,,0.0,0.0,50,0.0,0.0
Class4,P2,concave_tuned,0.0,0.0,0.0,0.0,19.0,0.0,31,0.38,0.38
Class4,P3,concave_tuned,,,,,0.0,0.0,50,0.0,0.0
