Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,curvature,2.080335731414868,0.011214270384589019,2.0803727230004947,1.4748445226672047,125.0,58.0,125,0.796,0.556
Class1,P2,curvature,9.812280444964872,0.055055136682748265,9.81253096784499,2.844355971481681,196.0,480.0,54,2.828,0.976
Class1,P3,curvature,17.476507936507936,0.10436400361812272,17.476908441121743,1.1200049541479067,236.0,1373.0,14,6.644,1.0
Class2,P1,curvature,5.795093062605753,0.03439275592996311,5.7952906395114665,3.3250313382154943,143.0,231.0,107,1.572,0.788
Class2,P2,curvature,7.063700396825396,0.02093920864527614,7.063749865141286,2.1583486824024036,214.0,419.0,36,2.712,0.96
Class2,P3,curvature,16.127552236652235,0.11759243477203138,16.128070905458625,1.420025347072157,236.0,1268.0,14,6.228,1.0
Class3,P1,curvature,4.410642570281125,0.07937251773219284,4.411440832750457,2.932178512160837,158.0,265.0,92,1.764,0.996
Class3,P2,curvature,3.769722222222222,0.012699868640700033,3.769751518656372,1.737512065624029,217.0,222.0,33,1.952,0.96
Class3,P3,curvature,16.112064935064936,0.09843387762214638,16.112488955038764,3.6721904042957885,212.0,1096.0,38,5.46,1.0
Class4,P1,curvature,,,,,0.0,0.0,50,0.0,0.0
Class4,P2,curvature,0.8125,0.0008429668152248373,0.812500591707003,0.5833336814816978,24.0,2.0,26,0.58,0.48
Class4,P3,curvature,,,,,0.0,0.0,50,0.0,0.0
