Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,,,,,0,31,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0002,,,,,0,31,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0003,0.0,0.0,0.0,0.0,1,33,[33],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0004,0.5,0.0021694172668670353,0.5000047063491281,0.0,2,38,"[38, 39]",300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0005,,,,,0,38,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0006,,,,,0,25,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0007,,,,,0,31,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0008,,,,,0,31,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0009,,,,,0,37,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0010,,,,,0,29,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0011,1.0,0.000505740753079964,1.0000001278868464,1.0000001278868464,1,28,[29],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0012,,,,,0,29,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0013,0.5,0.00018437845236929373,0.5000000339954126,0.0,2,38,"[38, 39]",300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0014,0.5,0.001563651728545501,0.5000024450007502,0.0,2,35,"[35, 36]",300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0015,,,,,0,32,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0016,,,,,0,33,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0017,,,,,0,32,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0018,,,,,0,30,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0019,,,,,0,25,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0020,,,,,0,21,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0021,,,,,0,21,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0022,,,,,0,22,[],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0023,0.5,0.002648275272422118,0.5000070133127319,0.0,2,37,"[37, 38]",300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0024,0.5,0.0008897551739799892,0.5000007916636429,0.0,2,44,"[44, 45]",300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0025,0.0,0.0,0.0,0.0,1,38,[38],300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0026,0.5,0.002196119241403005,0.500004822916462,0.0,2,39,"[39, 40]",300,65,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0027,,,,,0,31,[],300,65,modified_scholkmann_1-2_99
