Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Reference_Peaks,Detected_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak,Method
Class1,P1,Class1_example_0001,,,,,0,31,[],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0002,4.0,0.02268255379130994,4.000069237817763,3.0000956569225385,3,31,"[34, 35, 36]",300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0003,3.5,0.017870891716445403,3.5000469698658048,3.000056157045165,2,33,"[36, 37]",300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0004,1.0,0.00194761565276802,1.000001896601567,1.000001896601567,1,38,[39],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0005,,,,,0,38,[],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0006,,,,,0,25,[],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0007,,,,,0,31,[],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0008,,,,,0,31,[],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0009,3.0,0.013321700058026131,3.000029577802932,3.000029577802932,1,37,[40],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0010,4.5,0.03802003832471479,4.500163009122141,4.000184440523322,2,29,"[33, 34]",300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0011,5.5,0.05278446013570659,5.500256030476626,5.000285777962876,2,28,"[33, 34]",300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0012,,,,,0,29,[],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0013,,,,,0,38,[],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0014,2.5,0.005671057351269548,2.500007591314528,2.0000118874517954,2,35,"[37, 38]",300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0015,,,,,0,32,[],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0016,,,,,0,33,[],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0017,,,,,0,32,[],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0018,,,,,0,30,[],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0019,,,,,0,25,[],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0020,,,,,0,21,[],300,73,modified_scholkmann_1-2_99
Class1,P1,Class1_example_0021,,,,,0,21,[],300,73,modified_scholkmann_1-2_99
