Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,wavelet,1.7903780068728523,0.020211407335871998,1.7905058418901363,1.6255424676035601,1.1566666666666667,300.0,291.0
Class1,P2,wavelet,17.6484392419175,0.07039678049868624,17.648655022166395,4.120498807254048,2.17,300.0,299.0
Class1,P3,wavelet,19.36422222222222,0.10488009996451239,19.364588466070693,2.370006429057695,2.6033333333333335,300.0,300.0
Class2,P1,wavelet,8.051839464882944,0.04623411786416051,8.052122984799304,2.75281556189825,1.6933333333333334,300.0,299.0
Class2,P2,wavelet,11.291944444444445,0.04051383647266249,11.292046863076296,2.4667054828317325,1.9133333333333333,300.0,300.0
Class2,P3,wavelet,19.219833333333334,0.1498353260809176,19.220520207373212,4.360034551664598,2.6,300.0,300.0
Class3,P1,wavelet,1.8483333333333334,0.02980343432540291,1.8485900972773455,1.616876171859278,1.2033333333333334,300.0,300.0
Class3,P2,wavelet,7.3225,0.022160142781471194,7.322554795997136,2.1466929502903773,1.7,300.0,300.0
Class3,P3,wavelet,14.10089485458613,0.0662429412046703,14.101113067777469,4.1510520812222325,2.3633333333333333,300.0,298.0
Class4,P1,wavelet,,,,,0.0,100.0,0.0
Class4,P2,wavelet,2.5425531914893615,0.0075854307635540375,2.5425687674624675,2.2659730190169802,1.15,100.0,94.0
Class4,P3,wavelet,,,,,0.0,100.0,0.0
