Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_d2x=-0-002,0.02631578947368421,3.4966798980102663e-05,0.026315821498753934,0.026315821498753934,0.912,250.0,228.0
Class1,P2,concave_d2x=-0-002,1.2,0.0020736346731389218,1.2000031732574774,1.0461568072930172,0.272,250.0,65.0
Class1,P3,concave_d2x=-0-002,5.569767441860465,0.01865020257623914,5.569813326046227,5.441906217379029,0.18,250.0,43.0
Class2,P1,concave_d2x=-0-002,0.31648936170212766,0.00047702616762105394,0.31648989064006516,0.29787281939942073,0.76,250.0,188.0
Class2,P2,concave_d2x=-0-002,2.309050772626932,0.012614007767604251,2.309119751653343,1.9735765197787345,0.68,250.0,151.0
Class2,P3,concave_d2x=-0-002,2.008888888888889,0.006957222348734032,2.0089097423042737,1.3200174860543648,0.364,250.0,75.0
Class3,P1,concave_d2x=-0-002,1.5686274509803921,0.024183748210914142,1.568889900704428,1.568889900704428,0.204,250.0,51.0
Class3,P2,concave_d2x=-0-002,0.3135593220338983,0.002464268588846624,0.31357072950614184,0.29662157137168305,0.48,250.0,118.0
Class3,P3,concave_d2x=-0-002,11.31060606060606,0.03913398857094632,11.310707084043289,11.19707091868363,0.276,250.0,66.0
Class4,P1,concave_d2x=-0-002,,,,,0.08,50.0,4.0
Class4,P2,concave_d2x=-0-002,2.0,0.003542404507215956,2.000003507575552,1.6923109636004758,0.3,50.0,13.0
Class4,P3,concave_d2x=-0-002,,,,,0.06,50.0,2.0
