Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann_1-2_95,8.0242777206806,0.02714378552267379,8.024339948575705,5.172685446149644,3.664,250.0,139.0
Class1,P2,modified_scholkmann_1-2_95,22.521312034401657,0.07742394348992894,22.521549528141755,17.17946379125855,6.536,250.0,212.0
Class1,P3,modified_scholkmann_1-2_95,10.421253274772692,0.04078226094310891,10.421367329416363,6.645724571411114,6.32,250.0,206.0
Class2,P1,modified_scholkmann_1-2_95,21.637746222987186,0.048365159959192716,21.637832208088618,19.180813130630373,1.76,250.0,83.0
Class2,P2,modified_scholkmann_1-2_95,11.38982494114073,0.02541755759988015,11.389872032045647,6.356293871150969,9.096,250.0,247.0
Class2,P3,modified_scholkmann_1-2_95,18.349642428056523,0.11931017135226941,18.350130439949275,14.09296121510726,7.44,250.0,227.0
Class3,P1,modified_scholkmann_1-2_95,,,,,0.0,250.0,0.0
Class3,P2,modified_scholkmann_1-2_95,7.885572748814274,0.023080883448619777,7.88562307189424,3.101707365994089,7.632,250.0,236.0
Class3,P3,modified_scholkmann_1-2_95,14.936112281293005,0.10881973103527486,14.936606080212838,8.823710365172465,9.24,250.0,249.0
Class4,P1,modified_scholkmann_1-2_95,,,,,0.0,50.0,0.0
Class4,P2,modified_scholkmann_1-2_95,2.749751803751804,0.010376934444588252,2.749782056575745,0.08000003467678717,8.4,50.0,50.0
Class4,P3,modified_scholkmann_1-2_95,,,,,0.0,50.0,0.0
